"CONFIG_ID","SPECIES_SYMBOL","SPECIES_NUM","CF_MIN_DBH","CF_VOL_EQ","CF_VOL_SP","COEF_TABLE","COEF_TBL_SP","NA."
"S22LAZN","ABCO",15,NA,"CU015004","ABGR","RMRS_coefs_2",17,NA
"S22LAZN","ABGR",17,NA,"CU015004","ABGR","RMRS_coefs_2",17,NA
"S22LAZN","ABLAA",18,NA,"CU093004","ABLA","RMRS_coefs_2",19,NA
"S22LAZN","ABLA",19,NA,"CU093004","ABLA","RMRS_coefs_2",19,NA
"S22LAZN","ABMA",20,NA,"CU015004","ABGR","RMRS_coefs_2",17,NA
"S22LAZN","ABSH",21,NA,"CU015004","ABGR","RMRS_coefs_2",17,NA
"S22LAZN","ABPR",22,NA,"CU015004","ABGR","RMRS_coefs_2",17,NA
"S22LAZN","CUAR",51,NA,"CU122010","PIPO","RMRS_coefs_4",122,NA
"S22LAZN","JUPI",58,NA,"CU064006","","RMRS_coefs_3",58,NA
"S22LAZN","JUCO11",59,NA,"CU064006","","RMRS_coefs_3",59,NA
"S22LAZN","JUCA7",62,NA,"CU064006","","RMRS_coefs_3",62,NA
"S22LAZN","JUDE2",63,NA,"CU064004","","RMRS_coefs_3",63,NA
"S22LAZN","JUOS",65,NA,"CU064006","JUOS","RMRS_coefs_3",65,NA
"S22LAZN","JUSC2",66,NA,"CU064004","JUSC2","RMRS_coefs_3",66,NA
"S22LAZN","JUVI",68,NA,"CU000059","JUVI","RMRS_coefs_1",68,NA
"S22LAZN","JUMO",69,NA,"CU064006","","RMRS_coefs_3",69,NA
"S22LAZN","PIEN",93,NA,"CU093004","PIEN","RMRS_coefs_2",93,NA
"S22LAZN","PIGL",94,NA,"CU093004","PIEN","RMRS_coefs_2",93,NA
"S22LAZN","PIPU",96,NA,"CU093004","PIEN","RMRS_coefs_2",93,NA
"S22LAZN","PIAL",101,NA,"CU113002","PICO","RMRS_coefs_2",108,NA
"S22LAZN","PIAR",102,NA,"CU113002","PICO","RMRS_coefs_2",108,NA
"S22LAZN","PIAT",103,NA,"CU113002","PICO","RMRS_coefs_2",108,NA
"S22LAZN","PIBA",104,NA,"CU113002","PICO","RMRS_coefs_2",108,NA
"S22LAZN","PIED",106,NA,"CU106005","","RMRS_coefs_3",106,NA
"S22LAZN","PICO",108,NA,"CU113002","PICO","RMRS_coefs_2",108,NA
"S22LAZN","PIEN2",112,NA,"CU122010","PIPO","RMRS_coefs_4",122,NA
"S22LAZN","PIFL2",113,NA,"CU113002","PICO","RMRS_coefs_2",108,NA
"S22LAZN","PIST3",114,NA,"CU113002","PICO","RMRS_coefs_2",108,NA
"S22LAZN","PIJE",116,NA,"CU122010","PIPO","RMRS_coefs_4",122,NA
"S22LAZN","PILE",118,NA,"CU122010","PIPO","RMRS_coefs_4",122,NA
"S22LAZN","PIPO",122,NA,"CU122010","PIPO","RMRS_coefs_4",122,NA
"S22LAZN","PISY",130,NA,"CU000059","PIPU5","RMRS_coefs_1",123,NA
"S22LAZN","PIMO",133,NA,"CU133001","PIMO","RMRS_coefs_5",133,NA
"S22LAZN","PIDI3",134,NA,"CU106005","","RMRS_coefs_3",134,NA
"S22LAZN","PIAR5",135,NA,"CU122010","PIPO","RMRS_coefs_4",122,NA
"S22LAZN","PINI",136,NA,"CU000059","PIPU5","RMRS_coefs_1",123,NA
"S22LAZN","PIWA",137,NA,"CU122010","PIPO","RMRS_coefs_4",122,NA
"S22LAZN","PICE",140,NA,"CU106005","","RMRS_coefs_3",140,NA
"S22LAZN","PILO",142,NA,"CU113002","PICO","RMRS_coefs_2",108,NA
"S22LAZN","PIMOF",143,NA,"CU106005","","RMRS_coefs_3",143,NA
"S22LAZN","PSME",202,NA,"CU202004","PSME","RMRS_coefs_2",202,NA
"S22LAZN","TABR2",231,NA,"CU122010","PIPO","RMRS_coefs_4",122,NA
"S22LAZN","ACNE2",313,NA,"CU000059","ACNE2","RMRS_coefs_1",313,NA
"S22LAZN","ACGR3",322,NA,"CU800002","","RMRS_coefs_6",322,NA
"S22LAZN","ALRU2",351,NA,"CU746004","POTR5","RMRS_coefs_2",746,NA
"S22LAZN","ALRH2",352,NA,"CU746004","POTR5","RMRS_coefs_2",746,NA
"S22LAZN","ALOB2",353,NA,"CU746004","POTR5","RMRS_coefs_2",746,NA
"S22LAZN","ARME",361,NA,"CU000059","2TREE","RMRS_coefs_1",999,NA
"S22LAZN","ARAR2",362,NA,"CU000059","2TREE","RMRS_coefs_1",999,NA
"S22LAZN","BEOC2",374,NA,"CU746004","POTR5","RMRS_coefs_2",746,NA
