"CONFIG_ID","SPECIES_SYMBOL","SPECIES_NUM","CF_MIN_DBH","CF_VOL_EQ","CF_VOL_SP","COEF_TABLE","COEF_TBL_SP"
"S22LAZS","ABCO",15,NA,"CU015002","ABGR","RMRS_coefs_8",17
"S22LAZS","ABGR",17,NA,"CU015002","ABGR","RMRS_coefs_8",17
"S22LAZS","ABLAA",18,NA,"CU093004","ABLA","RMRS_coefs_2",19
"S22LAZS","ABLA",19,NA,"CU093004","ABLA","RMRS_coefs_2",19
"S22LAZS","ABMA",20,NA,"CU015002","ABGR","RMRS_coefs_8",17
"S22LAZS","ABSH",21,NA,"CU015002","ABGR","RMRS_coefs_8",17
"S22LAZS","ABPR",22,NA,"CU015002","ABGR","RMRS_coefs_8",17
"S22LAZS","CUAR",51,NA,"CU122008","PIPO","RMRS_coefs_9",122
"S22LAZS","JUPI",58,NA,"CU064006","","RMRS_coefs_3",58
"S22LAZS","JUCO11",59,NA,"CU064006","","RMRS_coefs_3",59
"S22LAZS","JUCA7",62,NA,"CU064006","","RMRS_coefs_3",62
"S22LAZS","JUDE2",63,NA,"CU064004","","RMRS_coefs_3",63
"S22LAZS","JUOS",65,NA,"CU064006","JUOS","RMRS_coefs_3",65
"S22LAZS","JUSC2",66,NA,"CU064004","JUSC2","RMRS_coefs_3",66
"S22LAZS","JUVI",68,NA,"CU000059","JUVI","RMRS_coefs_1",68
"S22LAZS","JUMO",69,NA,"CU064006","","RMRS_coefs_3",69
"S22LAZS","PIEN",93,NA,"CU093004","PIEN","RMRS_coefs_2",93
"S22LAZS","PIGL",94,NA,"CU093004","PIEN","RMRS_coefs_2",93
"S22LAZS","PIPU",96,NA,"CU093004","PIEN","RMRS_coefs_2",93
"S22LAZS","PIAL",101,NA,"CU113002","PICO","RMRS_coefs_2",108
"S22LAZS","PIAR",102,NA,"CU113002","PICO","RMRS_coefs_2",108
"S22LAZS","PIAT",103,NA,"CU113002","PICO","RMRS_coefs_2",108
"S22LAZS","PIBA",104,NA,"CU113002","PICO","RMRS_coefs_2",108
"S22LAZS","PIED",106,NA,"CU106005","","RMRS_coefs_3",106
"S22LAZS","PICO",108,NA,"CU113002","PICO","RMRS_coefs_2",108
"S22LAZS","PIEN2",112,NA,"CU122008","PIPO","RMRS_coefs_9",122
"S22LAZS","PIFL2",113,NA,"CU113002","PICO","RMRS_coefs_2",108
"S22LAZS","PIST3",114,NA,"CU113002","PICO","RMRS_coefs_2",108
"S22LAZS","PIJE",116,NA,"CU122008","PIPO","RMRS_coefs_9",122
"S22LAZS","PILA",117,NA,"CU000058","PIMO3","RMRS_coefs_7",119
"S22LAZS","PILE",118,NA,"CU122008","PIPO","RMRS_coefs_9",122
"S22LAZS","PIMO3",119,NA,"CU000058","PIMO3","RMRS_coefs_7",119
"S22LAZS","PIPO",122,NA,"CU122008","PIPO","RMRS_coefs_9",122
"S22LAZS","PISY",130,NA,"CU000059","PIPU5","RMRS_coefs_1",123
"S22LAZS","PIMO",133,NA,"CU133001","PIMO","RMRS_coefs_5",133
"S22LAZS","PIDI3",134,NA,"CU106005","","RMRS_coefs_3",134
"S22LAZS","PIAR5",135,NA,"CU122008","PIPO","RMRS_coefs_9",122
"S22LAZS","PINI",136,NA,"CU000059","PIPU5","RMRS_coefs_1",123
"S22LAZS","PIWA",137,NA,"CU122008","PIPO","RMRS_coefs_9",122
"S22LAZS","PICE",140,NA,"CU106005","","RMRS_coefs_3",140
"S22LAZS","PILO",142,NA,"CU113002","PICO","RMRS_coefs_2",108
"S22LAZS","PIMOF",143,NA,"CU106005","","RMRS_coefs_3",143
"S22LAZS","PSME",202,NA,"CU202002","PSME","RMRS_coefs_8",202
"S22LAZS","TABR2",231,NA,"CU122008","PIPO","RMRS_coefs_9",122
