"CONFIG_ID","SPECIES_SYMBOL","SPECIES_NUM","CF_MIN_DBH","CF_VOL_EQ","CF_VOL_SP","COEF_TABLE","COEF_TBL_SP"
"S26LCAMIX","ABAM",11,5,"CU000077","ABAM","PNW_coefs_2",11
"S26LCAMIX","ABBR",14,5,"CU020001","","PNW_coefs_6",14
"S26LCAMIX","ABCO",15,5,"CU015005","","PNW_coefs_5",15
"S26LCAMIX","ABGR",17,5,"CU015005","","PNW_coefs_5",17
"S26LCAMIX","ABLA",19,5,"CU020001","","PNW_coefs_6",19
"S26LCAMIX","ABMA",20,5,"CU020001","","PNW_coefs_6",20
"S26LCAMIX","ABSH",21,5,"CU020001","","PNW_coefs_6",21
"S26LCAMIX","ABPR",22,5,"CU020001","","PNW_coefs_6",22
"S26LCAMIX","CHLA",41,5,"CU000082","THPL","PNW_coefs_3",242
"S26LCAMIX","CHNO",42,5,"CU000082","THPL","PNW_coefs_3",242
"S26LCAMIX","CUPRE",50,5,"CU081001","","PNW_coefs_7",50
"S26LCAMIX","CUAR",51,5,"CU081001","","PNW_coefs_7",51
"S26LCAMIX","CUMA2",54,5,"CU081001","","PNW_coefs_7",54
"S26LCAMIX","CUSA3",55,5,"CU081001","","PNW_coefs_7",55
"S26LCAMIX","JUCA7",62,5,"CU065002","","RMRS_coefs_5",62
"S26LCAMIX","JUOC",64,5,"CU064012","","PNW_coefs_21",64
"S26LCAMIX","JUOS",65,5,"CU065002","","RMRS_coefs_5",65
"S26LCAMIX","JUSC2",66,5,"CU066001","","RMRS_coefs_5",66
"S26LCAMIX","CADE27",81,5,"CU081001","","PNW_coefs_7",81
"S26LCAMIX","PIBR",92,5,"CU000082","PIGL","PNW_coefs_3",94
"S26LCAMIX","PIEN",93,5,"CU000082","PIGL","PNW_coefs_3",94
"S26LCAMIX","PISI",98,5,"CU000082","PIGL","PNW_coefs_3",94
"S26LCAMIX","PIAL",101,5,"CU119005","","PNW_coefs_9",101
"S26LCAMIX","PIAR",102,5,"CU108003","","PNW_coefs_8",102
"S26LCAMIX","PIAT",103,5,"CU108003","","PNW_coefs_8",103
"S26LCAMIX","PIBA",104,5,"CU108003","","PNW_coefs_8",104
"S26LCAMIX","PICO",108,5,"CU108003","","PNW_coefs_8",108
"S26LCAMIX","PICO3",109,5,"CU122011","","PNW_coefs_9",109
"S26LCAMIX","PIFL2",113,5,"CU108003","","PNW_coefs_8",113
"S26LCAMIX","PIJE",116,5,"CU122011","","PNW_coefs_9",116
"S26LCAMIX","PILA",117,5,"CU119005","","PNW_coefs_9",117
"S26LCAMIX","PIMO3",119,5,"CU119005","","PNW_coefs_9",119
"S26LCAMIX","PIMU",120,5,"CU108003","","PNW_coefs_8",120
"S26LCAMIX","PIPO",122,5,"CU122011","","PNW_coefs_9",122
"S26LCAMIX","PIRA2",124,5,"CU108003","","PNW_coefs_8",124
"S26LCAMIX","PISA2",127,5,"CU122011","","PNW_coefs_9",127
"S26LCAMIX","PIMO",133,5,"CU133001","","RMRS_coefs_5",133
"S26LCAMIX","PIWA",137,5,"CU122011","","PNW_coefs_9",137
"S26LCAMIX","PILO",142,5,"CU108003","","PNW_coefs_8",142
"S26LCAMIX","PSMA",201,5,"CU202007","","PNW_coefs_10",201
"S26LCAMIX","PSME",202,5,"CU202007","","PNW_coefs_10",202
"S26LCAMIX","SESE3",211,5,"CU000102","SESE3","PNW_coefs_4",211
"S26LCAMIX","SEGI2",212,5,"CU000102","SESE3","PNW_coefs_4",211
"S26LCAMIX","TABR2",231,5,"CU000082","THPL","PNW_coefs_3",242
"S26LCAMIX","THPL",242,5,"CU000082","THPL","PNW_coefs_3",242
"S26LCAMIX","TOCA",251,5,"CU000082","THPL","PNW_coefs_3",242
"S26LCAMIX","TSHE",263,5,"CU263004","","PNW_coefs_11",263
"S26LCAMIX","TSME",264,5,"CU264003","","PNW_coefs_12",264
"S26LCAMIX","2TE",299,5,"CU264003","","PNW_coefs_12",299
"S26LCAMIX","ACMA3",312,5,"CU000025","ACMA3","PNW_coefs_1",312
"S26LCAMIX","ACNE2",313,5,"CU000025","QUKE","PNW_coefs_1",818
"S26LCAMIX","ACGL",321,5,"CU475001","","RMRS_coefs_5",321
"S26LCAMIX","AESCU",330,5,"CU000025","QUAG","PNW_coefs_1",801
"S26LCAMIX","AECA",333,5,"CU000025","QUAG","PNW_coefs_1",801
"S26LCAMIX","ALRU2",351,5,"CU000087","ALRU2","PNW_coefs_2",351
"S26LCAMIX","ALRH2",352,5,"CU000087","ALRU2","PNW_coefs_2",351
"S26LCAMIX","ARME",361,5,"CU000025","ARME","PNW_coefs_1",361
"S26LCAMIX","BEOC2",374,5,"CU351004","","PNW_coefs_13",374
"S26LCAMIX","BEPA",375,5,"CU351004","","PNW_coefs_13",375
"S26LCAMIX","CADE12",421,5,"CU000025","CHCHC4","PNW_coefs_1",431
"S26LCAMIX","CHCHC4",431,5,"CU000025","CHCHC4","PNW_coefs_1",431
"S26LCAMIX","CELE3",475,5,"CU475001","","RMRS_coefs_5",475
"S26LCAMIX","CONU4",492,5,"CU000025","ACMA3","PNW_coefs_1",312
"S26LCAMIX","CRATA",500,5,"CU000025","QUCH2","PNW_coefs_1",805
"S26LCAMIX","EUCAL",510,5,"CU998003","","PNW_coefs_14",510
"S26LCAMIX","FRAXI",540,5,"CU000025","QUKE","PNW_coefs_1",818
"S26LCAMIX","FRLA",542,5,"CU000025","QUKE","PNW_coefs_1",818
"S26LCAMIX","ILOP",591,5,"CU351004","","PNW_coefs_13",591
"S26LCAMIX","JUGLA",600,5,"CU000025","QUKE","PNW_coefs_1",818
"S26LCAMIX","JUNI",602,5,"CU000025","QUKE","PNW_coefs_1",818
"S26LCAMIX","LIDE3",631,5,"CU000025","LIDE3","PNW_coefs_1",631
"S26LCAMIX","MALUS",660,5,"CU000025","QUCH2","PNW_coefs_1",805
"S26LCAMIX","MAFU",661,5,"CU000025","QUCH2","PNW_coefs_1",805
"S26LCAMIX","PLRA",730,5,"CU000025","QUCH2","PNW_coefs_1",805
"S26LCAMIX","POTR5",746,5,"CU000087","POTR5","PNW_coefs_2",746
"S26LCAMIX","POBAT",747,5,"CU000087","POBAT","PNW_coefs_2",747
"S26LCAMIX","POFR2",748,5,"CU000087","POBAT","PNW_coefs_2",747
"S26LCAMIX","PRGL2",756,5,"CU755001","","RMRS_coefs_6",756
"S26LCAMIX","PRUNU",760,5,"CU000087","ALRU2","PNW_coefs_2",351
"S26LCAMIX","PRVI",763,5,"CU000025","QUGA4","PNW_coefs_1",815
"S26LCAMIX","PRAM",766,5,"CU000087","ALRU2","PNW_coefs_2",351
"S26LCAMIX","PREM",768,5,"CU000087","ALRU2","PNW_coefs_2",351
"S26LCAMIX","QUAG",801,5,"CU000025","QUAG","PNW_coefs_1",801
"S26LCAMIX","QUCH2",805,5,"CU000025","QUCH2","PNW_coefs_1",805
"S26LCAMIX","QUDO",807,5,"CU000025","QUDO","PNW_coefs_1",807
"S26LCAMIX","QUEN",811,5,"CU000025","QUEN","PNW_coefs_1",811
"S26LCAMIX","QUGA4",815,5,"CU000025","QUGA4","PNW_coefs_1",815
"S26LCAMIX","QUKE",818,5,"CU000025","QUKE","PNW_coefs_1",818
"S26LCAMIX","QULO",821,5,"CU000025","QULO","PNW_coefs_1",821
"S26LCAMIX","QUMU",826,5,"CU000025","QUKE","PNW_coefs_1",818
"S26LCAMIX","QUWI2",839,5,"CU000025","QUWI2","PNW_coefs_1",839
"S26LCAMIX","ROPS",901,5,"CU000025","QUKE","PNW_coefs_1",818
"S26LCAMIX","SALIX",920,5,"CU000025","ARME","PNW_coefs_1",361
"S26LCAMIX","UMCA",981,5,"CU000025","UMCA","PNW_coefs_1",981
"S26LCAMIX","OLTE",990,5,"CU755001","","RMRS_coefs_6",990
"S26LCAMIX","ELAN",997,5,"CU000025","QUKE","PNW_coefs_1",818
"S26LCAMIX","2TB",998,5,"CU000025","QUGA4","PNW_coefs_1",815
"S26LCAMIX","2TREE",999,5,"CU000025","QUGA4","PNW_coefs_1",815
