"CONFIG_ID","SPECIES_SYMBOL","SPECIES_NUM","CF_MIN_DBH","CF_VOL_EQ","CF_VOL_SP","COEF_TABLE","COEF_TBL_SP"
"S22LCOW","ABCO",15,NA,"CU093002","ABGR","RMRS_coefs_10",17
"S22LCOW","ABGR",17,NA,"CU093002","ABGR","RMRS_coefs_10",17
"S22LCOW","ABLAA",18,NA,"CU093002","ABLA","RMRS_coefs_10",19
"S22LCOW","ABLA",19,NA,"CU093002","ABLA","RMRS_coefs_10",19
"S22LCOW","ABMA",20,NA,"CU093002","ABGR","RMRS_coefs_10",17
"S22LCOW","ABSH",21,NA,"CU093002","ABGR","RMRS_coefs_10",17
"S22LCOW","ABPR",22,NA,"CU093002","ABGR","RMRS_coefs_10",17
"S22LCOW","CUAR",51,NA,"CU122002","PIPO","RMRS_coefs_11",122
"S22LCOW","JUPI",58,NA,"CU064006","","RMRS_coefs_3",58
"S22LCOW","JUCO11",59,NA,"CU064006","","RMRS_coefs_3",59
"S22LCOW","JUCA7",62,NA,"CU064006","","RMRS_coefs_3",62
"S22LCOW","JUDE2",63,NA,"CU064004","","RMRS_coefs_3",63
"S22LCOW","JUOS",65,NA,"CU064006","JUOS","RMRS_coefs_3",65
"S22LCOW","JUSC2",66,NA,"CU064004","JUSC2","RMRS_coefs_3",66
"S22LCOW","JUVI",68,NA,"CU000059","JUVI","RMRS_coefs_1",68
"S22LCOW","JUMO",69,NA,"CU064006","","RMRS_coefs_3",69
"S22LCOW","PIEN",93,NA,"CU093002","PIEN","RMRS_coefs_10",93
"S22LCOW","PIGL",94,NA,"CU093002","PIEN","RMRS_coefs_10",93
"S22LCOW","PIPU",96,NA,"CU093002","PIEN","RMRS_coefs_10",93
"S22LCOW","PIAL",101,NA,"CU108002","PICO","RMRS_coefs_10",108
"S22LCOW","PIAR",102,NA,"CU108002","PICO","RMRS_coefs_10",108
"S22LCOW","PIAT",103,NA,"CU113002","PICO","RMRS_coefs_2",108
"S22LCOW","PIBA",104,NA,"CU108002","PICO","RMRS_coefs_10",108
"S22LCOW","PIED",106,NA,"CU106005","","RMRS_coefs_3",106
"S22LCOW","PICO",108,NA,"CU108002","PICO","RMRS_coefs_10",108
"S22LCOW","PIEN2",112,NA,"CU122002","PIPO","RMRS_coefs_11",122
"S22LCOW","PIFL2",113,NA,"CU108002","PICO","RMRS_coefs_10",108
"S22LCOW","PIST3",114,NA,"CU108002","PICO","RMRS_coefs_10",108
"S22LCOW","PIJE",116,NA,"CU122002","PIPO","RMRS_coefs_11",122
"S22LCOW","PILA",117,NA,"CU000058","PIMO3","RMRS_coefs_7",119
"S22LCOW","PILE",118,NA,"CU122002","PIPO","RMRS_coefs_11",122
"S22LCOW","PIMO3",119,NA,"CU000058","PIMO3","RMRS_coefs_7",119
"S22LCOW","PIPO",122,NA,"CU122002","PIPO","RMRS_coefs_11",122
"S22LCOW","PISY",130,NA,"CU000059","PIPU5","RMRS_coefs_1",123
"S22LCOW","PIMO",133,NA,"CU133001","PIMO","RMRS_coefs_5",133
"S22LCOW","PIDI3",134,NA,"CU106005","","RMRS_coefs_3",134
"S22LCOW","PIAR5",135,NA,"CU122002","PIPO","RMRS_coefs_11",122
"S22LCOW","PINI",136,NA,"CU000059","PIPU5","RMRS_coefs_1",123
"S22LCOW","PIWA",137,NA,"CU122002","PIPO","RMRS_coefs_11",122
"S22LCOW","PICE",140,NA,"CU106005","","RMRS_coefs_3",140
"S22LCOW","PILO",142,NA,"CU108002","PICO","RMRS_coefs_10",108
"S22LCOW","PIMOF",143,NA,"CU106005","","RMRS_coefs_3",143
"S22LCOW","PSME",202,NA,"CU093002","PSME","RMRS_coefs_10",202
"S22LCOW","TABR2",231,NA,"CU122002","PIPO","RMRS_coefs_11",122
