"CONFIG_ID","SPECIES_SYMBOL","SPECIES_NUM","CF_MIN_DBH","CF_VOL_EQ","CF_VOL_SP","COEF_TABLE","COEF_TBL_SP"
"S23LCS","ABBA",12,5,"CU000055","TSCA","NC_coefs_1",261
"S23LCS","JUNIP",57,5,"CU000055","PIST","NC_coefs_1",129
"S23LCS","JUSC2",66,5,"CU064004","JUSC2","RMRS_coefs_3",66
"S23LCS","JUVI",68,5,"CU000055","JUVI","NC_coefs_1",68
"S23LCS","LARIX",70,5,"CU000055","PIST","NC_coefs_1",129
"S23LCS","LALA",71,5,"CU000055","TSCA","NC_coefs_1",261
"S23LCS","PIAB",91,5,"CU000055","PIST","NC_coefs_1",129
"S23LCS","PIEN",93,5,"CU000055","PIST","NC_coefs_1",129
"S23LCS","PIGL",94,5,"CU000055","TSCA","NC_coefs_1",261
"S23LCS","PIMA",95,5,"CU000055","TSCA","NC_coefs_1",261
"S23LCS","PIPU",96,5,"CU000055","PIST","NC_coefs_1",129
"S23LCS","PIBA",105,5,"CU000055","PIST","NC_coefs_1",129
"S23LCS","PIEC2",110,5,"CU000055","PIVI2","NC_coefs_1",132
"S23LCS","PIPO",122,5,"CU000055","PIST","NC_coefs_1",129
"S23LCS","PIRE",125,5,"CU000055","PIST","NC_coefs_1",129
"S23LCS","PIST",129,5,"CU000055","PIST","NC_coefs_1",129
"S23LCS","PISY",130,5,"CU000055","PIST","NC_coefs_1",129
"S23LCS","PITA",131,5,"CU000055","PIVI2","NC_coefs_1",132
"S23LCS","PIVI2",132,5,"CU000055","PIVI2","NC_coefs_1",132
"S23LCS","PINI",136,5,"CU000055","PIST","NC_coefs_1",129
"S23LCS","PSME",202,5,"CU000055","PIST","NC_coefs_1",129
"S23LCS","TADI2",221,5,"CU000055","TADI2","NC_coefs_1",221
"S23LCS","THOC2",241,5,"CU000055","TSCA","NC_coefs_1",261
"S23LCS","TSCA",261,5,"CU000055","TSCA","NC_coefs_1",261
"S23LCS","ACACI",300,5,"CU000055","ACNE2","NC_coefs_1",313
"S23LCS","ACNE2",313,5,"CU000055","ACNE2","NC_coefs_1",313
"S23LCS","ACNI5",314,5,"CU000055","ACSA3","NC_coefs_1",318
"S23LCS","ACPE",315,5,"CU000055","OSVI","NC_coefs_1",701
"S23LCS","ACRU",316,5,"CU000055","ACRU","NC_coefs_1",316
"S23LCS","ACSA2",317,5,"CU000055","ACRU","NC_coefs_1",316
"S23LCS","ACSA3",318,5,"CU000055","ACSA3","NC_coefs_1",318
"S23LCS","ACSP2",319,5,"CU000055","OSVI","NC_coefs_1",701
"S23LCS","ACPLS",320,5,"CU000055","ACSA3","NC_coefs_1",318
"S23LCS","ACGL",321,5,"CU000055","ACNE2","NC_coefs_1",313
"S23LCS","AESCU",330,5,"CU000055","ACNE2","NC_coefs_1",313
"S23LCS","AEGL",331,5,"CU000055","ACNE2","NC_coefs_1",313
"S23LCS","AEFL",332,5,"CU000055","ACNE2","NC_coefs_1",313
"S23LCS","AIAL",341,5,"CU000055","OSVI","NC_coefs_1",701
"S23LCS","ALJU",345,5,"CU000055","OSVI","NC_coefs_1",701
"S23LCS","ALGL2",355,5,"CU000055","ACNE2","NC_coefs_1",313
"S23LCS","AMELA",356,5,"CU000055","OSVI","NC_coefs_1",701
"S23LCS","AMAR3",357,5,"CU000055","OSVI","NC_coefs_1",701
"S23LCS","ASTR",367,5,"CU000055","OSVI","NC_coefs_1",701
"S23LCS","BEAL2",371,5,"CU000055","FAGR","NC_coefs_1",531
"S23LCS","BELE",372,5,"CU000055","ACNE2","NC_coefs_1",313
"S23LCS","BENI",373,5,"CU000055","BEPA","NC_coefs_1",375
"S23LCS","BEPA",375,5,"CU000055","BEPA","NC_coefs_1",375
"S23LCS","BEPO",379,5,"CU000055","ACNE2","NC_coefs_1",313
"S23LCS","SILAL3",381,5,"CU000055","ACNE2","NC_coefs_1",313
"S23LCS","CACA18",391,5,"CU000055","OSVI","NC_coefs_1",701
"S23LCS","CARYA",400,5,"CU000055","CAOV2","NC_coefs_1",407
"S23LCS","CAAQ2",401,5,"CU000055","CACO15","NC_coefs_1",402
"S23LCS","CACO15",402,5,"CU000055","CACO15","NC_coefs_1",402
"S23LCS","CAGL8",403,5,"CU000055","CACO15","NC_coefs_1",402
