"CONFIG_ID","SPECIES_SYMBOL","SPECIES_NUM","CF_MIN_DBH","CF_VOL_EQ","CF_VOL_SP","COEF_TABLE","COEF_TBL_SP"
"S23LLS","ABIES",10,5,"CU000054","ABBA","NC_coefs_3",12
"S23LLS","ABBA",12,5,"CU000054","ABBA","NC_coefs_3",12
"S23LLS","ABCO",15,5,"CU000054","ABBA","NC_coefs_3",12
"S23LLS","ABFR",16,5,"CU000054","ABBA","NC_coefs_3",12
"S23LLS","JUNIP",57,5,"CU000054","PIBA2","NC_coefs_3",105
"S23LLS","JUSC2",66,5,"CU064004","JUSC2","RMRS_coefs_3",66
"S23LLS","JUVI",68,5,"CU000054","JUVI","NC_coefs_3",68
"S23LLS","LARIX",70,5,"CU000054","PIBA2","NC_coefs_3",105
"S23LLS","LALA",71,5,"CU000054","LALA","NC_coefs_3",71
"S23LLS","PIAB",91,5,"CU000054","PIBA2","NC_coefs_3",105
"S23LLS","PIEN",93,5,"CU000054","PIBA2","NC_coefs_3",105
"S23LLS","PIGL",94,5,"CU000054","PIGL","NC_coefs_3",94
"S23LLS","PIMA",95,5,"CU000054","PIMA","NC_coefs_3",95
"S23LLS","PIPU",96,5,"CU000054","PIBA2","NC_coefs_3",105
"S23LLS","PIBA",105,5,"CU000054","PIBA2","NC_coefs_3",105
"S23LLS","PIEC2",110,5,"CU000054","PIVI2","NC_coefs_3",132
"S23LLS","PIPO",122,5,"CU000054","PIRE","NC_coefs_3",125
"S23LLS","PIRE",125,5,"CU000054","PIRE","NC_coefs_3",125
"S23LLS","PIRI",126,5,"CU000054","PIRE","NC_coefs_3",125
"S23LLS","PIST",129,5,"CU000054","PIST","NC_coefs_3",129
"S23LLS","PISY",130,5,"CU000054","PIBA2","NC_coefs_3",105
"S23LLS","PITA",131,5,"CU000054","PIVI2","NC_coefs_3",132
"S23LLS","PIVI2",132,5,"CU000054","PIVI2","NC_coefs_3",132
"S23LLS","PINI",136,5,"CU000054","PIBA2","NC_coefs_3",105
"S23LLS","PSME",202,5,"CU000054","PIBA2","NC_coefs_3",105
"S23LLS","TADI2",221,5,"CU000054","TADI2","NC_coefs_3",221
"S23LLS","THOC2",241,5,"CU000054","THOC2","NC_coefs_3",241
"S23LLS","TSCA",261,5,"CU000054","TSCA","NC_coefs_3",261
"S23LLS","2TE",299,5,"CU000054","PIBA2","NC_coefs_3",105
"S23LLS","ACACI",300,5,"CU000054","ACNE2","NC_coefs_3",313
"S23LLS","ACNE2",313,5,"CU000054","ACNE2","NC_coefs_3",313
"S23LLS","ACNI5",314,5,"CU000054","ACSA3","NC_coefs_3",318
"S23LLS","ACPE",315,5,"CU000054","OSVI","NC_coefs_3",701
"S23LLS","ACRU",316,5,"CU000054","ACRU","NC_coefs_3",316
"S23LLS","ACSA2",317,5,"CU000054","ACRU","NC_coefs_3",316
"S23LLS","ACSA3",318,5,"CU000054","ACSA3","NC_coefs_3",318
"S23LLS","ACSP2",319,5,"CU000054","OSVI","NC_coefs_3",701
"S23LLS","ACPLS",320,5,"CU000054","ACSA3","NC_coefs_3",318
"S23LLS","ACGL",321,5,"CU000054","ACNE2","NC_coefs_3",313
"S23LLS","AESCU",330,5,"CU000054","ACNE2","NC_coefs_3",313
"S23LLS","AEGL",331,5,"CU000054","ACNE2","NC_coefs_3",313
"S23LLS","AEFL",332,5,"CU000054","ACNE2","NC_coefs_3",313
"S23LLS","AIAL",341,5,"CU000054","OSVI","NC_coefs_3",701
"S23LLS","ALJU",345,5,"CU000054","OSVI","NC_coefs_3",701
"S23LLS","ALGL2",355,5,"CU000054","ACNE2","NC_coefs_3",313
"S23LLS","AMELA",356,5,"CU000054","OSVI","NC_coefs_3",701
"S23LLS","AMAR3",357,5,"CU000054","OSVI","NC_coefs_3",701
"S23LLS","AMSA",358,5,"CU000054","OSVI","NC_coefs_3",701
"S23LLS","ASTR",367,5,"CU000054","OSVI","NC_coefs_3",701
"S23LLS","BEAL2",371,5,"CU000054","BEAL2","NC_coefs_3",371
"S23LLS","BELE",372,5,"CU000054","ACNE2","NC_coefs_3",313
"S23LLS","BENI",373,5,"CU000054","BENI","NC_coefs_3",373
"S23LLS","BEPA",375,5,"CU000054","BEPA","NC_coefs_3",375
"S23LLS","BEPO",379,5,"CU000054","ACNE2","NC_coefs_3",313
"S23LLS","SILAL3",381,5,"CU000054","ACNE2","NC_coefs_3",313
"S23LLS","CACA18",391,5,"CU000054","OSVI","NC_coefs_3",701
"S23LLS","CARYA",400,5,"CU000054","CAOV2","NC_coefs_3",407
"S23LLS","CAAQ2",401,5,"CU000054","CACO15","NC_coefs_3",402
"S23LLS","CACO15",402,5,"CU000054","CACO15","NC_coefs_3",402
"S23LLS","CAGL8",403,5,"CU000054","CACO15","NC_coefs_3",402
"S23LLS","CAIL2",404,5,"CU000054","CAOV2","NC_coefs_3",407
"S23LLS","CALA21",405,5,"CU000054","CAOV2","NC_coefs_3",407
"S23LLS","CAOV2",407,5,"CU000054","CAOV2","NC_coefs_3",407
"S23LLS","CATE9",408,5,"CU000054","CACO15","NC_coefs_3",402
"S23LLS","CAAL27",409,5,"CU000054","CAOV2","NC_coefs_3",407
"S23LLS","CADE12",421,5,"CU000054","ACNE2","NC_coefs_3",313
"S23LLS","CAPUO",423,5,"CU000054","ACNE2","NC_coefs_3",313
"S23LLS","CASP8",452,5,"CU000054","ACNE2","NC_coefs_3",313
"S23LLS","CELTI",460,5,"CU000054","CEOC","NC_coefs_3",462
"S23LLS","CELA",461,5,"CU000054","CEOC","NC_coefs_3",462
"S23LLS","CEOC",462,5,"CU000054","CEOC","NC_coefs_3",462
"S23LLS","CELAR",463,5,"CU000054","CEOC","NC_coefs_3",462
"S23LLS","CECA4",471,5,"CU000054","OSVI","NC_coefs_3",701
"S23LLS","CLKE",481,5,"CU000054","ACNE2","NC_coefs_3",313
"S23LLS","COFL2",491,5,"CU000054","ACNE2","NC_coefs_3",313
"S23LLS","CRATA",500,5,"CU000054","OSVI","NC_coefs_3",701
"S23LLS","CRCR2",501,5,"CU000054","2TREE","NC_coefs_3",999
"S23LLS","CRMO2",502,5,"CU000054","2TREE","NC_coefs_3",999
"S23LLS","DIVI5",521,5,"CU000054","ACNE2","NC_coefs_3",313
"S23LLS","FAGR",531,5,"CU000054","FAGR","NC_coefs_3",531
"S23LLS","FRAM2",541,5,"CU000054","FRPE","NC_coefs_3",544
"S23LLS","FRNI",543,5,"CU000054","FRNI","NC_coefs_3",543
"S23LLS","FRPE",544,5,"CU000054","FRPE","NC_coefs_3",544
"S23LLS","FRPR",545,5,"CU000054","ACNE2","NC_coefs_3",313
"S23LLS","FRQU",546,5,"CU000054","FRNI","NC_coefs_3",543
"S23LLS","GLAQ",551,5,"CU000054","ACNE2","NC_coefs_3",313
"S23LLS","GLTR",552,5,"CU000054","ACNE2","NC_coefs_3",313
"S23LLS","GYDI",571,5,"CU000054","ACNE2","NC_coefs_3",313
"S23LLS","ILOP",591,5,"CU000054","OSVI","NC_coefs_3",701
"S23LLS","JUGLA",600,5,"CU000054","JUNI","NC_coefs_3",602
"S23LLS","JUCI",601,5,"CU000054","JUNI","NC_coefs_3",602
"S23LLS","JUNI",602,5,"CU000054","JUNI","NC_coefs_3",602
"S23LLS","LIST2",611,5,"CU000054","LIST2","NC_coefs_3",611
