"CONFIG_ID","SPECIES_SYMBOL","SPECIES_NUM","CF_MIN_DBH","CF_VOL_EQ","CF_VOL_SP","COEF_TABLE","COEF_TBL_SP"
"S23LPS","ABBA",12,5,"CU000055","TSCA","NC_coefs_1",261
"S23LPS","JUNIP",57,5,"CU000055","PIST","NC_coefs_1",129
"S23LPS","JUSC2",66,5,"CU064004","JUSC2","RMRS_coefs_3",66
"S23LPS","JUVI",68,5,"CU000055","JUVI","NC_coefs_1",68
"S23LPS","LARIX",70,5,"CU000055","PIST","NC_coefs_1",129
"S23LPS","LALA",71,5,"CU000055","TSCA","NC_coefs_1",261
"S23LPS","PIAB",91,5,"CU000055","PIST","NC_coefs_1",129
"S23LPS","PIEN",93,5,"CU000055","PIST","NC_coefs_1",129
"S23LPS","PIGL",94,5,"CU000055","TSCA","NC_coefs_1",261
"S23LPS","PIMA",95,5,"CU000055","TSCA","NC_coefs_1",261
"S23LPS","PIPU",96,5,"CU000055","PIST","NC_coefs_1",129
"S23LPS","PIBA",105,5,"CU000055","PIST","NC_coefs_1",129
"S23LPS","PIEC2",110,5,"CU000055","PIVI2","NC_coefs_1",132
"S23LPS","PIPO",122,5,"CU122004","PIPO","NC_coefs_2",122
"S23LPS","PIRE",125,5,"CU000055","PIST","NC_coefs_1",129
"S23LPS","PIST",129,5,"CU000055","PIST","NC_coefs_1",129
"S23LPS","PISY",130,5,"CU000055","PIST","NC_coefs_1",129
"S23LPS","PITA",131,5,"CU000055","PIVI2","NC_coefs_1",132
"S23LPS","PIVI2",132,5,"CU000055","PIVI2","NC_coefs_1",132
"S23LPS","PINI",136,5,"CU000055","PIST","NC_coefs_1",129
"S23LPS","PSME",202,5,"CU000055","PIST","NC_coefs_1",129
"S23LPS","TADI2",221,5,"CU000055","TADI2","NC_coefs_1",221
"S23LPS","THOC2",241,5,"CU000055","TSCA","NC_coefs_1",261
"S23LPS","TSCA",261,5,"CU000055","TSCA","NC_coefs_1",261
"S23LPS","ACACI",300,5,"CU000055","ACNE2","NC_coefs_1",313
"S23LPS","ACNE2",313,5,"CU000055","ACNE2","NC_coefs_1",313
"S23LPS","ACNI5",314,5,"CU000055","ACSA3","NC_coefs_1",318
"S23LPS","ACPE",315,5,"CU000055","OSVI","NC_coefs_1",701
"S23LPS","ACRU",316,5,"CU000055","ACRU","NC_coefs_1",316
"S23LPS","ACSA2",317,5,"CU000055","ACRU","NC_coefs_1",316
"S23LPS","ACSA3",318,5,"CU000055","ACSA3","NC_coefs_1",318
"S23LPS","ACSP2",319,5,"CU000055","OSVI","NC_coefs_1",701
"S23LPS","ACPLS",320,5,"CU000055","ACSA3","NC_coefs_1",318
"S23LPS","ACGL",321,5,"CU000055","ACNE2","NC_coefs_1",313
"S23LPS","AESCU",330,5,"CU000055","ACNE2","NC_coefs_1",313
"S23LPS","AEGL",331,5,"CU000055","ACNE2","NC_coefs_1",313
"S23LPS","AEFL",332,5,"CU000055","ACNE2","NC_coefs_1",313
"S23LPS","AEGLA",334,5,"CU000055","ACNE2","NC_coefs_1",313
"S23LPS","AIAL",341,5,"CU000055","OSVI","NC_coefs_1",701
"S23LPS","ALJU",345,5,"CU000055","OSVI","NC_coefs_1",701
"S23LPS","ALGL2",355,5,"CU000055","ACNE2","NC_coefs_1",313
"S23LPS","AMELA",356,5,"CU000055","OSVI","NC_coefs_1",701
"S23LPS","AMAR3",357,5,"CU000055","OSVI","NC_coefs_1",701
"S23LPS","ASTR",367,5,"CU000055","OSVI","NC_coefs_1",701
"S23LPS","BEAL2",371,5,"CU000055","FAGR","NC_coefs_1",531
"S23LPS","BELE",372,5,"CU000055","ACNE2","NC_coefs_1",313
"S23LPS","BENI",373,5,"CU000055","BEPA","NC_coefs_1",375
"S23LPS","BEPA",375,5,"CU000055","BEPA","NC_coefs_1",375
"S23LPS","BEPO",379,5,"CU000055","ACNE2","NC_coefs_1",313
"S23LPS","SILAL3",381,5,"CU000055","ACNE2","NC_coefs_1",313
"S23LPS","CACA18",391,5,"CU000055","OSVI","NC_coefs_1",701
"S23LPS","CARYA",400,5,"CU000055","CAOV2","NC_coefs_1",407
"S23LPS","CAAQ2",401,5,"CU000055","CACO15","NC_coefs_1",402
"S23LPS","CACO15",402,5,"CU000055","CACO15","NC_coefs_1",402
"S23LPS","CAGL8",403,5,"CU000055","CACO15","NC_coefs_1",402
"S23LPS","CAIL2",404,5,"CU000055","CAOV2","NC_coefs_1",407
"S23LPS","CALA21",405,5,"CU000055","CAOV2","NC_coefs_1",407
"S23LPS","CAOV2",407,5,"CU000055","CAOV2","NC_coefs_1",407
"S23LPS","CATE9",408,5,"CU000055","CACO15","NC_coefs_1",402
"S23LPS","CAAL27",409,5,"CU000055","CAOV2","NC_coefs_1",407
"S23LPS","CADE12",421,5,"CU000055","ACNE2","NC_coefs_1",313
"S23LPS","CAPUO",423,5,"CU000055","ACNE2","NC_coefs_1",313
"S23LPS","CABI8",451,5,"CU000055","ACNE2","NC_coefs_1",313
"S23LPS","CASP8",452,5,"CU000055","ACNE2","NC_coefs_1",313
"S23LPS","CELTI",460,5,"CU000055","ULAM","NC_coefs_1",972
"S23LPS","CELA",461,5,"CU000055","ULAM","NC_coefs_1",972
"S23LPS","CEOC",462,5,"CU000055","ULAM","NC_coefs_1",972
"S23LPS","CELAR",463,5,"CU000055","ULAM","NC_coefs_1",972
"S23LPS","CECA4",471,5,"CU000055","OSVI","NC_coefs_1",701
"S23LPS","CLKE",481,5,"CU000055","ACNE2","NC_coefs_1",313
"S23LPS","COFL2",491,5,"CU000055","ACNE2","NC_coefs_1",313
"S23LPS","CRATA",500,5,"CU000055","OSVI","NC_coefs_1",701
"S23LPS","CRCR2",501,5,"CU000055","BEPA","NC_coefs_1",375
"S23LPS","CRMO2",502,5,"CU000055","BEPA","NC_coefs_1",375
"S23LPS","DIVI5",521,5,"CU000055","ACNE2","NC_coefs_1",313
"S23LPS","FAGR",531,5,"CU000055","FAGR","NC_coefs_1",531
"S23LPS","FRAM2",541,5,"CU000055","FRPE","NC_coefs_1",544
"S23LPS","FRNI",543,5,"CU000055","FRPE","NC_coefs_1",544
"S23LPS","FRPE",544,5,"CU000055","FRPE","NC_coefs_1",544
