"Species","B0","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","B13","B14","B15","B16","B17","B18","B19"
12,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,99.92,0,4.5,14.304,0.19894,1.4195,0.23349,1.00001,0.76878,0.12399
68,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,110.32,0.6,4.5,8.2079,0.19672,1.3112,0.33978,1.00001,0.76173,0.11666
71,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,105.52,0,4.5,13.62,0.24255,1.2885,0.25831,1.00001,0.68128,0.10771
94,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,105.52,0,4.5,31.957,0.18511,1.702,0,1.00001,0.68967,0.162
95,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,95.77,0.5,4.5,20.038,0.18981,1.2909,0.17836,1.00001,0.57343,0.10159
105,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,86.77,0.85,4.5,16.934,0.12972,1,0.20854,1.00001,0.77792,0.12902
125,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,101.79,-0.55,4.5,36.851,0.08298,1,1e-05,1.00001,0.63884,0.18231
129,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,95.88,0,4.5,16.281,0.08621,1,0.1622,1.00001,0.86833,0.23316
132,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,79.1,0.6,4.5,36.851,0.08298,1,1e-05,1.00001,0.63884,0.18231
221,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,79.1,0.6,4.5,16.281,0.08621,1,0.1622,1.00001,0.86833,0.23316
