"Species","B0","B1","B2","B3","B4","B5"
12,-0.1,-0.05444,2.1194,0.04821,2.0427,0.3579
94,0.17,-0.06315,2.0654,0.05122,2.0264,0.3508
129,0.11,-0.05977,2.0498,0.04965,2.0198,0.3468
131,-0.03,-0.05604,2.0473,0.05022,2.0198,0.3242
241,0.19,-0.05904,1.9935,0.04981,2.0027,0.3214
261,0.24,-0.05895,2.0362,0.04947,2.0172,0.3366
317,-0.45,-0.00523,2.2323,0.01338,2.0093,0.6384
318,-0.19,-0.01171,1.8949,0.0134,1.9928,0.6471
370,-0.27,-0.00675,1.9738,0.01327,1.9967,0.6407
400,-0.27,-0.00466,2.1575,0.01174,2.0035,0.664
531,-0.6,-0.00711,2.2693,0.01399,2.019,0.6518
544,0.06,-0.02437,1.5419,0.01299,1.9885,0.6453
621,-0.45,-0.00523,2.2323,0.01338,2.0093,0.6384
762,-0.04,-0.01783,1.8109,0.01358,1.9905,0.6553
832,-0.26,0.00038,2,0.01068,1.998,0.6438
833,-0.13,-0.00536,1.9172,0.01131,1.9975,0.6549
950,-0.39,-0.00622,2.0066,0.0131,1.9939,0.6494
999,0.13,-0.00183,2.36,0.00944,2.0608,0.6516
