"CONFIG_ID","SPECIES_SYMBOL","SPECIES_NUM","CF_MIN_DBH","CF_VOL_EQ","CF_VOL_SP","COEF_TABLE","COEF_TBL_SP","NA."
"S26LEOR","ABAM",11,5,"CU000082","ABLA","PNW_coefs_3",19,""
"S26LEOR","ABCO",15,5,"CU000082","ABLA","PNW_coefs_3",19,""
"S26LEOR","ABGR",17,5,"CU000082","ABLA","PNW_coefs_3",19,""
"S26LEOR","ABLA",19,5,"CU000082","ABLA","PNW_coefs_3",19,""
"S26LEOR","ABMA",20,5,"CU000082","ABLA","PNW_coefs_3",19,""
"S26LEOR","ABSH",21,5,"CU020001","","PNW_coefs_6",21,""
"S26LEOR","ABPR",22,5,"CU000082","ABLA","PNW_coefs_3",19,""
"S26LEOR","CHLA",41,5,"CU081001","","PNW_coefs_7",41,""
"S26LEOR","CHNO",42,5,"CU000082","THPL","PNW_coefs_3",242,""
"S26LEOR","JUCA7",62,5,"CU065002","","RMRS_coefs_5",62,""
"S26LEOR","JUOC",64,5,"CU064012","","PNW_coefs_21",64,""
"S26LEOR","JUOS",65,5,"CU065002","","RMRS_coefs_5",65,""
"S26LEOR","JUSC2",66,5,"CU066001","","RMRS_coefs_5",66,""
"S26LEOR","LAOC",73,5,"CU000087","LAOC","PNW_coefs_2",73,""
"S26LEOR","CADE27",81,5,"CU081001","","PNW_coefs_7",81,""
"S26LEOR","PIBR",92,5,"CU000077","PISI","PNW_coefs_2",98,""
"S26LEOR","PIEN",93,5,"CU000082","PIGL","PNW_coefs_3",94,""
"S26LEOR","PISI",98,5,"CU000077","PISI","PNW_coefs_2",98,""
"S26LEOR","PIAL",101,5,"CU000087","PICO","PNW_coefs_2",108,""
"S26LEOR","PIAT",103,5,"CU000087","PICO","PNW_coefs_2",108,""
"S26LEOR","PICO",108,5,"CU000087","PICO","PNW_coefs_2",108,""
"S26LEOR","PIJE",116,5,"CU000092","PIPO","PNW_coefs_15",122,""
"S26LEOR","PILA",117,5,"CU119005","","PNW_coefs_9",117,""
"S26LEOR","PIMO3",119,5,"CU000087","PICO","PNW_coefs_2",108,""
"S26LEOR","PIMU",120,5,"CU108003",NA,"PNW_coefs_8",120,NA
"S26LEOR","PIPO",122,5,"CU000092","PIPO","PNW_coefs_15",122,""
"S26LEOR","PIMO",133,5,"CU133001","","RMRS_coefs_5",133,""
"S26LEOR","PSME",202,5,"CU000092","PSME","PNW_coefs_15",202,""
"S26LEOR","SESE3",211,5,"CU000102","SESE3","PNW_coefs_4",211,""
"S26LEOR","SEGI2",212,5,"CU000102","SESE3","PNW_coefs_4",211,""
"S26LEOR","TABR2",231,5,"CU000082","THPL","PNW_coefs_3",242,""
"S26LEOR","THPL",242,5,"CU000082","THPL","PNW_coefs_3",242,""
