"CONFIG_ID","SPECIES_SYMBOL","SPECIES_NUM","CF_MIN_DBH","CF_VOL_EQ","CF_VOL_SP","COEF_TABLE","COEF_TBL_SP","NA."
"S26LORJJ","ABAM",11,5,"CU000077","ABAM","PNW_coefs_2",11,""
"S26LORJJ","ABCO",15,5,"CU015005","","PNW_coefs_5",15,""
"S26LORJJ","ABGR",17,5,"CU000077","ABAM","PNW_coefs_2",11,""
"S26LORJJ","ABLA",19,5,"CU000077","ABAM","PNW_coefs_2",11,""
"S26LORJJ","ABMA",20,5,"CU020001","","PNW_coefs_6",20,""
"S26LORJJ","ABSH",21,5,"CU020001","","PNW_coefs_6",21,""
"S26LORJJ","ABPR",22,5,"CU000077","ABAM","PNW_coefs_2",11,""
"S26LORJJ","CHLA",41,5,"CU081001","","PNW_coefs_7",41,""
"S26LORJJ","CHNO",42,5,"CU000077","THPL","PNW_coefs_2",242,""
"S26LORJJ","JUCA7",62,5,"CU065002","","RMRS_coefs_5",62,""
"S26LORJJ","JUOC",64,5,"CU064012","","PNW_coefs_21",64,""
"S26LORJJ","JUOS",65,5,"CU065002","","RMRS_coefs_5",65,""
"S26LORJJ","JUSC2",66,5,"CU066001","","RMRS_coefs_5",66,""
"S26LORJJ","LAOC",73,5,"CU000087","LAOC","PNW_coefs_2",73,""
"S26LORJJ","CADE27",81,5,"CU081001","","PNW_coefs_7",81,""
"S26LORJJ","PIBR",92,5,"CU000077","PISI","PNW_coefs_2",98,""
"S26LORJJ","PIEN",93,5,"CU000077","PISI","PNW_coefs_2",98,""
"S26LORJJ","PISI",98,5,"CU000077","PISI","PNW_coefs_2",98,""
"S26LORJJ","PIAL",101,5,"CU000087","PICO","PNW_coefs_2",108,""
"S26LORJJ","PIAT",103,5,"CU000087","PICO","PNW_coefs_2",108,""
"S26LORJJ","PICO",108,5,"CU000087","PICO","PNW_coefs_2",108,""
"S26LORJJ","PIFL2",113,5,"CU000087","PICO","PNW_coefs_2",108,""
"S26LORJJ","PIJE",116,5,"CU122011","","PNW_coefs_9",116,""
"S26LORJJ","PILA",117,5,"CU119005","","PNW_coefs_9",117,""
"S26LORJJ","PIMO3",119,5,"CU000087","PICO","PNW_coefs_2",108,""
"S26LORJJ","PIMU",120,5,"CU108003",NA,"PNW_coefs_8",120,NA
"S26LORJJ","PIPO",122,5,"CU122011","","PNW_coefs_9",122,""
"S26LORJJ","PISY",130,5,"CU000087","PICO","PNW_coefs_2",108,""
"S26LORJJ","PIMO",133,5,"CU133001","","RMRS_coefs_5",133,""
"S26LORJJ","PSME",202,5,"CU202020","","PNW_coefs_16",202,""
"S26LORJJ","SESE3",211,5,"CU000102","SESE3","PNW_coefs_4",211,""
"S26LORJJ","SEGI2",212,5,"CU000102","SESE3","PNW_coefs_4",211,""
"S26LORJJ","TABR2",231,5,"CU000077","THPL","PNW_coefs_2",242,""
"S26LORJJ","THPL",242,5,"CU000077","THPL","PNW_coefs_2",242,""
"S26LORJJ","TSHE",263,5,"CU263004","","PNW_coefs_11",263,""
"S26LORJJ","TSME",264,5,"CU264003","","PNW_coefs_12",264,""
"S26LORJJ","2TE",299,5,"CU264003","","PNW_coefs_12",299,""
"S26LORJJ","ACMA3",312,5,"CU000025","ACMA3","PNW_coefs_1",312,""
"S26LORJJ","ACNE2",313,5,"CU000025","ACMA3","PNW_coefs_1",312,""
"S26LORJJ","ACGL",321,5,"CU475001","","RMRS_coefs_5",321,""
"S26LORJJ","ALRU2",351,5,"CU000087","ALRU2","PNW_coefs_2",351,""
"S26LORJJ","ALRH2",352,5,"CU000087","ALRU2","PNW_coefs_2",351,""
"S26LORJJ","ARME",361,5,"CU000025","ARME","PNW_coefs_1",361,""
"S26LORJJ","BEOC2",374,5,"CU351004","","PNW_coefs_13",374,""
"S26LORJJ","BEPA",375,5,"CU351004","","PNW_coefs_13",375,""
"S26LORJJ","CHCHC4",431,5,"CU000025","CHCHC4","PNW_coefs_1",431,""
"S26LORJJ","CELE3",475,5,"CU475001","","RMRS_coefs_5",475,""
"S26LORJJ","CONU4",492,5,"CU351004","","PNW_coefs_13",492,""
"S26LORJJ","CRATA",500,5,"CU351004","","PNW_coefs_13",500,""
"S26LORJJ","EUCAL",510,5,"CU351004","","PNW_coefs_13",510,""
"S26LORJJ","FRAXI",540,5,"CU000025","QUKE","PNW_coefs_1",818,""
"S26LORJJ","FRLA",542,5,"CU000025","QUKE","PNW_coefs_1",818,""
"S26LORJJ","ILOP",591,5,"CU351004","","PNW_coefs_13",591,""
"S26LORJJ","JUGLA",600,5,"CU351004","","PNW_coefs_13",600,""
"S26LORJJ","JUNI",602,5,"CU351004","","PNW_coefs_13",602,""
"S26LORJJ","LIDE3",631,5,"CU000025","LIDE3","PNW_coefs_1",631,""
"S26LORJJ","MALUS",660,5,"CU351004","","PNW_coefs_13",660,""
"S26LORJJ","MAFU",661,5,"CU351004","","PNW_coefs_13",661,""
"S26LORJJ","PLRA",730,5,"CU351004","","PNW_coefs_13",730,""
"S26LORJJ","POTR5",746,5,"CU351004","","PNW_coefs_13",746,""
"S26LORJJ","POBAT",747,5,"CU351004","","PNW_coefs_13",747,""
"S26LORJJ","PRUNU",760,5,"CU351004","","PNW_coefs_13",760,""
"S26LORJJ","PRVI",763,5,"CU351004","","PNW_coefs_13",763,""
"S26LORJJ","PRAM",766,5,"CU351004","","PNW_coefs_13",766,""
"S26LORJJ","PREM",768,5,"CU351004","","PNW_coefs_13",768,""
"S26LORJJ","QUCH2",805,5,"CU000025","QUCH2","PNW_coefs_1",805,""
"S26LORJJ","QUGA4",815,5,"CU000025","QUGA4","PNW_coefs_1",815,""
"S26LORJJ","QUKE",818,5,"CU000025","QUKE","PNW_coefs_1",818,""
