"Species","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11"
11,-2.575642,1.806775,1.094665,0.912733,1.033,1.382937,-4.015292,0.005454,0.087266,-0.174533,0.005454154
42,-2.454348,1.741044,1.058437,0.912733,1.033,1.382937,-4.015292,0.005454,0.087266,-0.174533,0.005454154
73,-2.624325,1.847123,1.044007,0.912733,1.033,1.382937,-4.015292,0.005454,0.087266,-0.174533,0.005454154
98,-2.700574,1.754171,1.164531,0.912733,1.033,1.382937,-4.015292,0.005454,0.087266,-0.174533,0.005454154
108,-2.615591,1.847504,1.085772,0.912733,1.033,1.382937,-4.015292,0.005454,0.087266,-0.174533,0.005454154
119,-2.480145,1.867286,0.994351,0.912733,1.033,1.382937,-4.015292,0.005454,0.087266,-0.174533,0.005454154
122,-2.729937,1.909478,1.085681,0.912733,1.033,1.382937,-4.015292,0.005454,0.087266,-0.174533,0.005454154
202,-2.712153,1.659012,1.195715,0.912733,1.033,1.382937,-4.015292,0.005454,0.087266,-0.174533,0.005454154
242,-2.379642,1.6823,1.039712,0.912733,1.033,1.382937,-4.015292,0.005454,0.087266,-0.174533,0.005454154
263,-2.663834,1.79023,1.124873,0.912733,1.033,1.382937,-4.015292,0.005454,0.087266,-0.174533,0.005454154
312,-2.770324,1.885813,1.119043,0.912733,1.033,1.382937,-4.015292,0.005454,0.087266,-0.174533,0.005454154
351,-2.672775,1.920617,1.074024,0.912733,1.033,1.382937,-4.015292,0.005454,0.087266,-0.174533,0.005454154
370,-2.757813,1.911681,1.105403,0.912733,1.033,1.382937,-4.015292,0.005454,0.087266,-0.174533,0.005454154
746,-2.63536,1.946034,1.024793,0.912733,1.033,1.382937,-4.015292,0.005454,0.087266,-0.174533,0.005454154
747,-2.945047,1.803973,1.238853,0.912733,1.033,1.382937,-4.015292,0.005454,0.087266,-0.174533,0.005454154
