"CF_VOL_EQ","Coeff.Table","Source","AK_SECN","AK_KA","CA","CA_MC","OR_E","OR_W","OR_JJ","WA_E","WA_W","WA_CF"
"CU000025","1","Pillsbury and Kirkley, 1984",NA,NA,"X","X","X","X","X","X",NA,NA
"CU000077","2","Brackett, 1973; Browne, 1962",NA,NA,"X","X","X","X","X","X","X","X"
"CU000082","3","Brackett, 1973; Browne, 1962",NA,NA,"X","X","X",NA,NA,"X",NA,NA
"CU000087","2","Brackett, 1973; Browne, 1962","X","X","X","X","X","X","X","X","X","X"
"CU000092","15","Brackett, 1973; Summerfield, unpublished (1980); Browne, 1962",NA,NA,NA,NA,"X",NA,NA,"X","X","X"
"CU000102","4","Brackett, 1973; Krumland and Wensel, 1975; Browne, 1962",NA,NA,"X","X","X","X","X",NA,NA,NA
"CU000106","17","Larson and Winterberger, 1988; Campbell, unpublished (2009)","X","X",NA,NA,NA,NA,NA,NA,NA,NA
"CU000119","18","Embry and Haack, 1965; Bruce and Demars, unpublished (???); Bruce, 1984","X","X",NA,NA,NA,NA,NA,NA,NA,NA
"CU015005","5","MacLean and Berger, 1976",NA,NA,"X","X",NA,"X","X",NA,NA,NA
"CU020001","6","MacLean and Berger, 1976",NA,NA,"X","X","X","X","X",NA,NA,NA
"CU042001","19","Brackett, 1973; Browne, 1962; Bruce and Demars, unpublished (???); Embry and Haack, 1965; Bruce, 1984","X","X",NA,NA,NA,NA,NA,NA,NA,NA
"CU064012","21","Brackett, 1973; Chittester and MacLean, 1984",NA,NA,"X","X","X","X","X","X","X","X"
"CU065002","RMRS_5","Chojnacky, 1985",NA,NA,"X","X","X","X","X",NA,NA,NA
"CU066001","RMRS_5","Chojnacky, 1985",NA,NA,"X","X","X","X","X",NA,NA,NA
"CU081001","7","MacLean and Berger, 1976",NA,NA,"X","X","X","X","X","X","X","X"
"CU108003","8","MacLean and Berger, 1976",NA,NA,"X","X",NA,NA,NA,NA,NA,NA
"CU119005","9","Brackett, 1973; MacLean and Berger, 1976; Browne, 1962",NA,NA,"X","X","X","X","X","X","X","X"
"CU122011","9","MacLean and Berger, 1976",NA,NA,"X","X",NA,"X","X",NA,NA,NA
"CU133001","RMRS_5","Chojnacky, 1985",NA,NA,"X","X","X","X","X","X","X","X"
"CU202007","10","MacLean and Berger, 1976",NA,NA,"X","X",NA,NA,NA,NA,NA,NA
"CU202020","16","Brackett, 1973; Browne, 1962",NA,NA,NA,NA,NA,"X","X",NA,"X","X"
"CU242001","20","Brackett, 1973; Browne, 1962; Bruce and Demars, unpublished (???); Embry and Haack, 1965; Bruce, 1984","X","X",NA,NA,NA,NA,NA,NA,NA,NA
"CU263004","11","Brackett, 1973; Chambers and Foltz, 1979; Browne, 1962",NA,NA,"X","X","X","X","X","X","X","X"
"CU264003","12","Brackett, 1973; Browne, 1962; Bell, Marshall and Johnson, 1981",NA,NA,"X","X","X","X","X","X","X","X"
"CU351004","13","Brackett, 1973; Curtis, Bruce and VanCoevering, 1968; Browne, 1962",NA,NA,"X","X","X","X","X","X","X","X"
"CU475001","RMRS_5","Chojnacky, 1985",NA,NA,"X","X","X","X","X","X","X","X"
"CU755001","RMRS_6","Chojnacky, 1988",NA,NA,"X","X","X",NA,NA,"X",NA,NA
"CU998003","14","Brackett, 1973; MacLean, unpublished (1983); Browne, 1962",NA,NA,"X","X",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
