SPCD,COMMON_NAME,GENUS,SPECIES,VARIETY,SUBSPECIES,SPECIES_SYMBOL,E_SPGRPCD,W_SPGRPCD,MAJOR_SPGRPCD,STOCKING_SPGRPCD,FOREST_TYPE_SPGRPCD,EXISTS_IN_NCRS,EXISTS_IN_NERS,EXISTS_IN_PNWRS,EXISTS_IN_RMRS,EXISTS_IN_SRS,SITETREE,SFTWD_HRDWD,ST_EXISTS_IN_NCRS,ST_EXISTS_IN_NERS,ST_EXISTS_IN_PNWRS,ST_EXISTS_IN_RMRS,ST_EXISTS_IN_SRS,EAST,WEST,WOODLAND,MANUAL_START,MANUAL_END,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,CORE,JENKINS_SPGRPCD,JENKINS_TOTAL_B1,JENKINS_TOTAL_B2,JENKINS_STEM_WOOD_RATIO_B1,JENKINS_STEM_WOOD_RATIO_B2,JENKINS_STEM_BARK_RATIO_B1,JENKINS_STEM_BARK_RATIO_B2,JENKINS_FOLIAGE_RATIO_B1,JENKINS_FOLIAGE_RATIO_B2,JENKINS_ROOT_RATIO_B1,JENKINS_ROOT_RATIO_B2,JENKINS_SAPLING_ADJUSTMENT,WOOD_SPGR_GREENVOL_DRYWT,WOOD_SPGR_GREENVOL_DRYWT_CIT,BARK_SPGR_GREENVOL_DRYWT,BARK_SPGR_GREENVOL_DRYWT_CIT,MC_PCT_GREEN_WOOD,MC_PCT_GREEN_WOOD_CIT,MC_PCT_GREEN_BARK,MC_PCT_GREEN_BARK_CIT,WOOD_SPGR_MC12VOL_DRYWT,WOOD_SPGR_MC12VOL_DRYWT_CIT,BARK_VOL_PCT,BARK_VOL_PCT_CIT,RAILE_STUMP_DOB_B1,RAILE_STUMP_DIB_B1,RAILE_STUMP_DIB_B2
907,Florida silver palm,Coccothrinax,argentata,,,COAR,43,47,3,37,147,,,,,X,,H,,,,,,E,,,2,,,2/24/2005,333,,3/19/2008,333,N,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,75.13,26,80.49,26,0.58,26,15.16,26,0.12766,0.91979,0.12152
908,coconut palm  ,Cocos,nucifera,,,CONU,43,47,3,37,147,,,,,X,,H,,,,,,E,,,2,,,2/24/2005,333,,3/19/2008,333,N,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,75.13,26,80.49,26,0.58,26,15.16,26,0.12766,0.91979,0.12152
909,royal palm spp.,Roystonea,spp.,,,ROYST,43,47,3,37,147,,,,,X,,H,,,,,,E,,,2,,,2/24/2005,333,,3/19/2008,333,N,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,75.13,26,80.49,26,0.58,26,15.16,26,0.12766,0.91979,0.12152
911,Mexican palmetto,Sabal,mexicana,,,SAME8,41,47,3,37,147,,,,,X,,H,,,,,,E,,,4,,,6/7/2007,333,,3/19/2008,333,N,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.52,26,0.53,26,75.13,26,80.49,26,0.58,26,15.16,26,0.12766,0.91979,0.12152
912,cabbage palmetto,Sabal,palmetto,,,SAPA,43,47,3,37,147,,,,,X,,H,,,,,,E,,,2,,,2/24/2005,333,,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.52,26,0.53,26,75.13,26,80.49,26,0.58,26,15.16,26,0.12766,0.91979,0.12152
913,key thatch palm,Thrinax,morrisii,,,THMO4,43,47,3,37,147,,,,,X,,H,,,,,,E,,,2,,,2/24/2005,333,,3/19/2008,333,N,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,75.13,26,80.49,26,0.58,26,15.16,26,0.12766,0.91979,0.12152
914,Florida thatch palm,Thrinax,radiata,,,THRA2,43,47,3,37,147,,,,,X,,H,,,,,,E,,,2,,,2/24/2005,333,,3/19/2008,333,N,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,75.13,26,80.49,26,0.58,26,15.16,26,0.12766,0.91979,0.12152
915,other palms,Family Arecaceae,not listed above,,,ARECA,43,47,3,37,147,,,,,X,,H,,,,,,E,,,2,,,2/24/2005,333,,3/19/2008,333,N,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.52,26,0.53,26,75.13,26,80.49,26,0.58,26,15.16,26,0.12766,0.91979,0.12152
919,western soapberry,Sapindus,saponaria,drummondii,,SASAD,43,43,4,37,221,X,,,,X,,H,,,,,,E,W,,1.7,,,2/24/2005,333,,3/19/2008,333,N,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,75.13,26,80.49,26,0.58,26,15.16,26,0.12766,0.91979,0.12152
920,willow spp.,Salix,spp.,,,SALIX,43,47,3,37,123,X,X,X,,X,,H,,,,,,E,W,,1.7,,,2/24/2005,333,,3/19/2008,333,N,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.36,23,0.5,23,127,23,99,23,0.39,23,16,32,0.09658,0.91882,0.08593
921,peachleaf willow,Salix,amygdaloides,,,SAAM2,43,43,3,25,123,X,X,,,X,,H,,,,,,E,W,,1.7,,,2/24/2005,333,,3/19/2008,333,N,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.36,24,0.5,24,127,24,99,24,0.39,24,16,24,0.09658,0.91882,0.08593
922,black willow,Salix,nigra,,,SANI,41,47,3,25,123,X,X,X,,X,,H,,,,,,E,W,,1.7,,,2/24/2005,333,,9/29/2009,10497,N,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.36,1,0.5,6,127.02778,5,98.72,11,0.39,1,16,21,0.09658,0.91882,0.08593
923,Bebb willow,Salix,bebbiana,,,SABE2,43,47,3,25,123,X,X,,,X,,H,,,,,,E,W,,2,,,2/24/2005,333,,7/4/2010,440,N,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.36,24,0.5,24,127,24,99,24,0.39,24,16,24,0.09658,0.91882,0.08593
924,Bonpland willow,Salix,bonplandiana,,,SABO,41,47,3,25,123,,,,,X,,H,,,,,,,W,,2,,,2/24/2005,333,,3/19/2008,333,N,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.36,24,0.5,24,127,24,99,24,0.39,24,16,24,0.09658,0.91882,0.08593
925,coastal plain willow,Salix,caroliniana,,,SACA5,43,47,3,25,123,X,X,,,X,,H,,,,,,E,,,2,,,2/24/2005,333,,3/19/2008,333,Y,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.36,24,0.5,24,127,24,99,24,0.39,24,16,24,0.09658,0.91882,0.08593
926,balsam willow,Salix,pyrifolia,,,SAPY,43,47,3,25,123,X,X,X,,,,H,,,,,,E,,,2,,,2/24/2005,333,,10/9/2009,440,Y,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.36,24,0.5,24,127,24,99,24,0.39,24,16,24,0.09658,0.91882,0.08593
927,white willow,Salix,alba,,,SAAL2,41,41,3,25,123,X,X,,,X,,H,,,,,,E,W,,1.7,,,2/24/2005,333,,3/19/2008,333,N,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.36,24,0.5,24,127,24,99,24,0.39,24,16,24,0.09658,0.91882,0.08593
928,Scouler's willow,Salix,scouleriana,,,SASC,41,47,3,25,123,X,,X,,,,H,,,,,,,W,,2,,,2/24/2005,333,,3/19/2008,333,N,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.36,24,0.5,24,127,24,99,24,0.39,24,16,24,0.09658,0.91882,0.08593
929,weeping willow,Salix,sepulcralis,,,SASE10,41,47,3,25,123,X,X,,,X,,H,,,,,,E,,,2,,,2/24/2005,333,,3/19/2008,333,Y,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.36,24,0.5,24,127,24,99,24,0.39,24,16,24,0.09658,0.91882,0.08593
931,sassafras,Sassafras,albidum,,,SAAL5,41,41,3,29,93,X,X,,,X,,H,,,,,,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.42,1,0.5,6,67.88095,9,89.1,22,0.46,1,15,21,0.12766,0.91979,0.12152
934,mountain-ash spp.,Sorbus,spp.,,,SORBU,43,47,4,37,221,X,X,,,X,,H,,,,,,E,,,2,,,2/24/2005,333,,3/19/2008,333,N,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,75.13,26,80.49,26,0.58,26,15.16,26,0.12766,0.91979,0.12152
