"REGION","STATECD","UNIT","COUNTYCD","ECOSUBCD","GPS_ELEV","HABTYPCD1","MIXEDCONFCD","ECO_UNIT_PNW","CONFIG_ID","DESCRIPTION"
"NERS",NA,NA,NA,NA,NA,NA,NA,NA,"S24","Northeastern States (CT,DE,ME,MD,MA,NH,NJ,NY,OH,PA,RI,VT,WV)"
"SRS",NA,NA,NA,NA,NA,NA,NA,NA,"S33","Southern States (AL,AR,FL,GA,KY,LA,MS,NC,OK,SC,TN,TX,VA)"
"NCRS","17,18,19,29",NA,NA,NA,NA,NA,NA,NA,"S23LCS","Central States (IL,IN,IA,MO)"
"NCRS","26,27,55",NA,NA,NA,NA,NA,NA,NA,"S23LLS","Lake States (MI,MN,WI)"
"NCRS","20,31,38,46",NA,NA,NA,NA,NA,NA,NA,"S23LPS","Plains States (KS,NE,ND,SD)"
"RMRS","4",NA,NA,"313A,313B,313D,322A",NA,NA,NA,NA,"S22LAZN","Northern Arizona Ecosections"
"RMRS","4",NA,NA,"313C,321A,322B,322C,M313A",NA,NA,NA,NA,"S22LAZS","Southern Arizona Ecosections"
"RMRS","8",NA,NA,"331B,331C,331H,331I",NA,NA,NA,NA,"S22LCOE","Eastern Colorado Ecosections"
"RMRS","8",NA,NA,"313A,313B,331J,341B,341C,342F,342G,M331E,M331F,M331G,M331H,M331I,M341B",NA,NA,NA,NA,"S22LCOW","Western Colorado Ecosections"
"RMRS","16",NA,NA,NA,NA,NA,NA,NA,"S22LID","Idaho Ecosections"
"RMRS","30",NA,NA,"331D,331E,331F,331G,331K,331L,331M,331N",NA,NA,NA,NA,"S22LMTE","Eastern Montana Ecosections"
"RMRS","30",NA,NA,"342A,M331A,M331B,M332A,M332B,M332D,M332E,M333B,M333C,M333D",NA,NA,NA,NA,"S22LMTW","Western Montana Ecosections"
"RMRS","32",NA,NA,NA,NA,NA,NA,NA,"S22LNV","Nevada Ecosections"
"RMRS","35",NA,NA,"313A,313B,313D,315H,331B,331J,M331F,M331G",NA,NA,NA,NA,"S22LNMN","Northern New Mexico Ecosections"
"RMRS","35",NA,NA,"315A,315B,321A,M313A,M313B",NA,NA,NA,NA,"S22LNMS","Southern New Mexico Ecosections"
"RMRS","49",NA,NA,"341C,342D,342E,342G,342J,M331D,M331E",NA,NA,NA,NA,"S22LUTNE","Northern & Eastern Utah Ecosections"
"RMRS","49",NA,NA,"313A,313B,322A,341A,341B,341F,M341A,M341B,M341C",NA,NA,NA,NA,"S22LUTSW","Southern & Western Utah Ecosections"
"RMRS","56",NA,NA,"331F,331G,331H,331K,331M,331N,M334A",NA,NA,NA,NA,"S22LWYE","Eastern Wyoming Ecosections"
"RMRS","56",NA,NA,"342A,342D,342E,342F,342G,M331A,M331B,M331D,M331E,M331H,M331I,M331J",NA,NA,NA,NA,"S22LWYW","Western Wyoming Ecosections"
"PNWRS","41","0,1,2","29,33",NA,NA,NA,NA,NA,"S26LORJJ","Oregon - Jackson & Josephine Cos."
"PNWRS","41","0,1,2","Other",NA,NA,NA,NA,NA,"S26LWOR","Western Oregon"
"PNWRS","41","Other",NA,NA,NA,NA,NA,NA,"S26LEOR","Eastern Oregon"
"PNWRS","53","8,9",NA,NA,NA,NA,NA,NA,"S26LEWA","Eastern Washington"
"PNWRS","53","Other",NA,NA,"(>=3000 OR NULL) AND","(LIKE 'CF' OR 'CM')",NA,NA,"S26LWACF","Washington - Silver Fir Zone"
"PNWRS","53","Other",NA,NA,"<3000 OR","NOT (LIKE 'CF' OR 'CM')",NA,NA,"S26LWWA","Western Washington"
"PNWRS","6",NA,NA,NA,NA,NA,"Y",NA,"S26LCAMIX","California mixed conifer forest type"
"PNWRS","6",NA,NA,NA,NA,NA,"N",NA,"S26LCA","California other than mixed conifer forest type"
"PNWRS","2",NA,NA,NA,NA,NA,NA,"NULL","S27LAK","Alaska - Other or unknown location"
"PNWRS","2",NA,NA,NA,NA,NA,NA,"S27LAK1A,S27LAK1B","S27LAK1AB","Coastal Alaska - Southeast & Central"
"PNWRS","2",NA,NA,NA,NA,NA,NA,"S27LAK1C","S27LAK1C","Coastal Alaska - Kodiak & Afognak Islands"
"PNWRS","2",NA,NA,NA,NA,NA,NA,"S27LAK2A","S27LAK2A","Interior Alaska - South & East of the Alaska Range - Subgroup 1"
"PNWRS","2",NA,NA,NA,NA,NA,NA,"S27LAK2B","S27LAK2B","Interior Alaska - South & East of the Alaska Range - Subgroup 2"
"PNWRS","2",NA,NA,NA,NA,NA,NA,"S27LAK2C","S27LAK2C","Interior Alaska - South & East of the Alaska Range - Subgroup 3"
"PNWRS","2",NA,NA,NA,NA,NA,NA,"S27LAK3A","S27LAK3A","Interior Alaska - North & West of the Alaska Range - Subgroup 1"
"PNWRS","2",NA,NA,NA,NA,NA,NA,"S27LAK3B","S27LAK3B","Interior Alaska - North & West of the Alaska Range - Subgroup 2"
"PNWRS","2",NA,NA,NA,NA,NA,NA,"S27LAK3C","S27LAK3C","Interior Alaska - North & West of the Alaska Range - Subgroup 3"
"PNWRS","2",NA,NA,NA,NA,NA,NA,"S27LAK3D","S27LAK3D","Interior Alaska - North & West of the Alaska Range - Subgroup 4"
"PNWRS","2",NA,NA,NA,NA,NA,NA,"S27LAK3E","S27LAK3E","Interior Alaska - North & West of the Alaska Range - Subgroup 5"
"PNWRS","2",NA,NA,NA,NA,NA,NA,"S27LAK3F","S27LAK3F","Interior Alaska - North & West of the Alaska Range - Subgroup 6"
