"Species","X..of.stems","B1","B2","B3","B4","B5","B6"
322,"1",-0.068,2.4048,0.1383,6.571,17.704,4
322,"2 or more",-0.028,1.9545,0.14,6.691,17.918,4
756,"1",-0.043,2.3378,0.8024,9.586,12.839,2
756,"2 or more",0.02,1.8972,0.5756,6.927,9.21,2
757,"1",-0.043,2.3378,0.8024,9.586,12.839,2
757,"2 or more",0.02,1.8972,0.5756,6.927,9.21,2
758,"1",-0.043,2.3378,0.8024,9.586,12.839,2
758,"2 or more",0.02,1.8972,0.5756,6.927,9.21,2
803,"1",-0.068,2.4048,0.1383,6.571,17.704,4
803,"2 or more",-0.028,1.9545,0.14,6.691,17.918,4
810,"1",-0.068,2.4048,0.1383,6.571,17.704,4
810,"2 or more",-0.028,1.9545,0.14,6.691,17.918,4
814,"1",-0.068,2.4048,0.1383,6.571,17.704,4
814,"2 or more",-0.028,1.9545,0.14,6.691,17.918,4
829,"1",-0.068,2.4048,0.1383,6.571,17.704,4
829,"2 or more",-0.028,1.9545,0.14,6.691,17.918,4
843,"1",-0.068,2.4048,0.1383,6.571,17.704,4
843,"2 or more",-0.028,1.9545,0.14,6.691,17.918,4
846,"1",-0.068,2.4048,0.1383,6.571,17.704,4
846,"2 or more",-0.028,1.9545,0.14,6.691,17.918,4
847,"1",-0.068,2.4048,0.1383,6.571,17.704,4
847,"2 or more",-0.028,1.9545,0.14,6.691,17.918,4
990,"1",-0.043,2.3378,0.8024,9.586,12.839,2
990,"2 or more",0.02,1.8972,0.5756,6.927,9.21,2
