"Species","B1","B2","B3","B4","B5","B6","B7"
17,0.592,1.093,3.595,3.329,0.001255,1.662,1.328
73,1.133,1.175,3.561,3.418,0.000964,1.756,1.283
108,0.688,1.032,3.58,3.405,0.002057,1.862,1.12
119,0.62,1.037,3.358,3.137,0.001592,1.661,1.256
122,1.047,1.128,3.45,3.29,0.00172,1.876,1.089
202,0.709,1.153,3.475,3.229,0.001655,1.703,1.217
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
