"species","size","B0","B1"
"10","sapling",0.065755,0.002813
"10","poles",-0.09992,0.002097
"10","sawtimber",0.879371,0.001845
"43","sapling",0.010169,0.002839
"43","poles",0.247418,0.002161
"43","sawtimber",1.668389,0.001822
"60","sapling",0.052928,0.002853
"60","poles",-0.315878,0.002207
"60","sawtimber",-0.104252,0.002145
"67","sapling",0.052928,0.002853
"67","poles",-0.315878,0.002207
"67","sawtimber",-0.104252,0.002145
"68","sapling",0.052928,0.002853
"68","poles",-0.315878,0.002207
"68","sawtimber",-0.104252,0.002145
"90","sapling",0.065755,0.002813
"90","poles",-0.09992,0.002097
"90","sawtimber",0.879371,0.001845
"107","sapling",0.079225,0.00249
"107","poles",-0.514855,0.002472
"107","sawtimber",0.377006,0.002239
"110","sapling",0.066654,0.002168
"110","poles",-0.706167,0.002215
"110","sawtimber",-0.68706,0.002211
"111","sapling",0.070229,0.002111
"111","planted sapling",0.132056,0.002113
"111","poles",-0.797881,0.002128
"111","sawtimber",-0.611225,0.002088
"115","sapling",0.081287,0.002219
"115","poles",0.248714,0.002143
"115","sawtimber",0.118241,0.002168
"121","sapling",0.058586,0.002429
"121","poles",-0.944222,0.002265
"121","sawtimber",-0.44319,0.002165
"123","sapling",0.081287,0.002219
"123","poles",-0.013552,0.002453
"123","sawtimber",0.870587,0.002205
"126","sapling",0.081287,0.002219
"126","poles",-0.47066,0.002194
"126","sawtimber",-0.37967,0.002171
"128","sapling",0.047587,0.002354
"128","poles",-0.632942,0.002177
"128","sawtimber",-0.2796,0.002093
"129","sapling",0.074791,0.002881
"129","poles",-0.040964,0.002011
"129","sawtimber",0.604023,0.001857
"131","sapling",0.060342,0.002197
"131","planted sapling",0.150292,0.001994
"131","poles",-0.819681,0.00214
"131","sawtimber",-0.658316,0.002107
"132","sapling",0.034943,0.002569
"132","poles",-0.284955,0.002264
"132","sawtimber",0.333364,0.002118
"221","sapling",0.094132,0.002743
"221","poles",0.241431,0.002047
"221","sawtimber",1.757944,0.001752
"222","sapling",0.101432,0.002744
"222","poles",-0.296106,0.002037
"222","sawtimber",1.044195,0.001712
"241","sapling",0.065755,0.002813
"241","poles",-0.09992,0.002097
"241","sawtimber",0.879371,0.001845
"260","sapling",0.065755,0.002813
"260","poles",-0.259181,0.001808
"260","sawtimber",-0.216081,0.001798
"311","sapling",0.058647,0.002378
"311","poles",-0.347844,0.001837
"311","sawtimber",-0.202284,0.001818
"313","sapling",0.054564,0.002565
"313","poles",-0.451948,0.001921
"313","sawtimber",0.518892,0.001802
"316","sapling",0.023326,0.00286
"316","poles",-0.104018,0.00185
"316","sawtimber",0.680247,0.001742
"317","sapling",0.054564,0.002565
"317","poles",-0.451948,0.001921
"317","sawtimber",0.518892,0.001802
"318","sapling",0.058647,0.002378
"318","poles",-0.052827,0.001891
"318","sawtimber",0.352087,0.001838
"330","sapling",0.054564,0.002565
"330","poles",-0.439762,0.00194
"330","sawtimber",0.218924,0.001833
"370","sapling",0.058647,0.002378
"370","poles",0.371605,0.001773
"370","sawtimber",0.543581,0.001751
"371","sapling",0.058647,0.002378
"371","poles",0.998628,0.001765
"371","sawtimber",0.169526,0.001893
"400","sapling",0.04762,0.002192
"400","poles",-0.665929,0.001868
"400","sawtimber",-0.793179,0.001884
"460","sapling",0.054564,0.002565
"460","poles",-0.19368,0.00177
"460","sawtimber",0.500522,0.00167
"491","sapling",0.037005,0.002729
"491","poles",-0.347844,0.001837
"491","sawtimber",-0.202284,0.001818
"521","sapling",0.034641,0.002546
"521","poles",-0.402944,0.001931
"521","sawtimber",-1.173042,0.002028
"531","sapling",0.058647,0.002378
"531","poles",-0.398996,0.002026
"531","sawtimber",1.468854,0.001765
"540","sapling",0.064004,0.00241
"540","poles",-0.392822,0.001921
"540","sawtimber",0.172701,0.001851
"552","sapling",0.058647,0.002378
"552","poles",-0.347844,0.001837
"552","sawtimber",-0.202284,0.001818
"555","sapling",0.012745,0.003005
"555","poles",-0.19841,0.001901
"555","sawtimber",0.735415,0.001775
"580","sapling",0.054564,0.002565
"580","poles",-0.451948,0.001921
"580","sawtimber",0.518892,0.001802
"591","sapling",0.058647,0.002378
"591","poles",-0.172555,0.002151
"591","sawtimber",0.762909,0.001965
"601","sapling",0.054564,0.002565
"601","poles",-0.451948,0.001921
"601","sawtimber",0.518892,0.001802
"602","sapling",0.058647,0.002378
"602","poles",-0.033805,0.001656
"602","sawtimber",0.42189,0.001596
"611","sapling",0.045146,0.002357
"611","poles",-0.936122,0.001991
"611","sawtimber",-0.629168,0.001955
"621","sapling",0.019361,0.002514
"621","poles",-0.553182,0.001922
"621","sawtimber",0.485232,0.001807
"651","sapling",0.051279,0.002641
"651","poles",-0.19841,0.001901
"651","sawtimber",0.735415,0.001775
