"CONFIG_ID","SPECIES_SYMBOL","SPECIES_NUM","CF_MIN_DBH","CF_VOL_EQ","CF_VOL_SP","COEF_TABLE","COEF_TBL_SP"
"S33","ABIES",10,5,"CU000067","ABIES","S_coefs_1",10
"S33","ABBA",12,5,"CU000067","ABIES","S_coefs_1",10
"S33","ABFR",16,5,"CU000067","ABIES","S_coefs_1",10
"S33","CHTH2",43,5,"CU000067","CHTH2","S_coefs_1",43
"S33","JUPI",58,5,"CU064006",NA,"RMRS_coefs_3",58
"S33","JUCO11",59,5,"CU064006",NA,"RMRS_coefs_3",59
"S33","JUFL",60,5,"CU000067","JUVI","S_coefs_1",68
"S33","JUAS",61,5,"CU064003","JUSC2","S_coefs_2",66
"S33","JUDE2",63,5,"CU064003",NA,"S_coefs_2",63
"S33","JUSC2",66,5,"CU064003","JUSC2","S_coefs_2",66
"S33","JUVIS",67,5,"CU000067","JUVIS","S_coefs_1",67
"S33","JUVI",68,5,"CU000067","JUVI","S_coefs_1",68
"S33","JUMO",69,5,"CU064006",NA,"RMRS_coefs_3",69
"S33","PICEA",90,5,"CU000067","PICEA","S_coefs_1",90
"S33","PIEN",93,5,"CU000067","PICEA","S_coefs_1",90
"S33","PIRU",97,5,"CU000067","PICEA","S_coefs_1",90
"S33","PINUS",100,5,"CU000067","PITA","S_coefs_1",131
"S33","PIED",106,5,"CU106005",NA,"RMRS_coefs_3",106
"S33","PICL",107,5,"CU000067","PICL","S_coefs_1",107
"S33","PIEC2",110,5,"CU000067","PIEC2","S_coefs_1",110
"S33","PIEL",111,5,"CU000067","PIEL","S_coefs_1",111
"S33","PIGL2",115,5,"CU000067","PIGL2","S_coefs_1",115
"S33","PIPA2",121,5,"CU000067","PIPA2","S_coefs_1",121
"S33","PIPO",122,5,"CU122008","PIPO","RMRS_coefs_9",122
"S33","PIPU5",123,5,"CU000067","PIPU5","S_coefs_1",123
"S33","PIRI",126,5,"CU000067","PIRI","S_coefs_1",126
"S33","PISE",128,5,"CU000067","PISE","S_coefs_1",128
"S33","PIST",129,5,"CU000067","PIST","S_coefs_1",129
"S33","PISY",130,5,"CU000067","PICL","S_coefs_1",107
"S33","PITA",131,5,"CU000067","PITA","S_coefs_1",131
"S33","PIVI2",132,5,"CU000067","PIVI2","S_coefs_1",132
"S33","PICE",140,5,"CU106005",NA,"RMRS_coefs_3",140
"S33","PIRE5",141,5,"CU106005",NA,"RMRS_coefs_3",141
"S33","PSME",202,5,"CU202002","PSME","RMRS_coefs_8",202
"S33","TAXOD",220,5,"CU000067","TADI2","S_coefs_1",221
"S33","TADI2",221,5,"CU000067","TADI2","S_coefs_1",221
"S33","TAAS",222,5,"CU000067","TAAS","S_coefs_1",222
"S33","TAMU",223,5,"CU000067","TADI2","S_coefs_1",221
"S33","THOC2",241,5,"CU000067","THOC2","S_coefs_1",241
"S33","TSUGA",260,5,"CU000067","TSUGA","S_coefs_1",260
"S33","TSCA",261,5,"CU000067","TSUGA","S_coefs_1",260
"S33","TSCA2",262,5,"CU000067","TSUGA","S_coefs_1",260
"S33","2TE",299,5,"CU000067","ABIES","S_coefs_1",10
"S33","ACFA",303,5,"CU800002","PRVE","S_coefs_2",757
"S33","ACER",310,5,"CU000067","ACSA3","S_coefs_1",318
"S33","ACBA3",311,5,"CU000067","ACBA3","S_coefs_1",311
"S33","ACNE2",313,5,"CU000067","ACNE2","S_coefs_1",313
"S33","ACNI5",314,5,"CU000067","ACSA2","S_coefs_1",317
"S33","ACPE",315,5,"CU000067","2TREE","S_coefs_1",999
"S33","ACRU",316,5,"CU000067","ACRU","S_coefs_1",316
"S33","ACSA2",317,5,"CU000067","ACSA2","S_coefs_1",317
"S33","ACSA3",318,5,"CU000067","ACSA3","S_coefs_1",318
"S33","ACSP2",319,5,"CU000067","2TREE","S_coefs_1",999
"S33","ACPL",320,5,"CU000067","ACSA3","S_coefs_1",318
"S33","ACGL",321,5,"CU800002",NA,"S_coefs_2",321
"S33","ACLE",323,5,"CU000067","ACSA2","S_coefs_1",317
