"CONFIG_ID","SPECIES_SYMBOL","SPECIES_NUM","CF_MIN_DBH","CF_VOL_EQ","CF_VOL_SP","COEF_TABLE","COEF_TBL_SP"
"S22LUTSW","ABCO",15,NA,"CU015004","ABGR","RMRS_coefs_2",17
"S22LUTSW","ABGR",17,NA,"CU015004","ABGR","RMRS_coefs_2",17
"S22LUTSW","ABLAA",18,NA,"CU093004","ABLA","RMRS_coefs_2",19
"S22LUTSW","ABLA",19,NA,"CU093004","ABLA","RMRS_coefs_2",19
"S22LUTSW","ABMA",20,NA,"CU015004","ABGR","RMRS_coefs_2",17
"S22LUTSW","ABSH",21,NA,"CU015004","ABGR","RMRS_coefs_2",17
"S22LUTSW","ABPR",22,NA,"CU015004","ABGR","RMRS_coefs_2",17
"S22LUTSW","CUAR",51,NA,"CU122010","PIPO","RMRS_coefs_4",122
"S22LUTSW","JUPI",58,NA,"CU064006","","RMRS_coefs_3",58
"S22LUTSW","JUCO11",59,NA,"CU064006","","RMRS_coefs_3",59
"S22LUTSW","JUCA7",62,NA,"CU064006","","RMRS_coefs_3",62
"S22LUTSW","JUDE2",63,NA,"CU064004","","RMRS_coefs_3",63
"S22LUTSW","JUOS",65,NA,"CU064006","JUOS","RMRS_coefs_3",65
"S22LUTSW","JUSC2",66,NA,"CU064004","JUSC2","RMRS_coefs_3",66
"S22LUTSW","JUVI",68,NA,"CU000059","JUVI","RMRS_coefs_1",68
"S22LUTSW","JUMO",69,NA,"CU064006","","RMRS_coefs_3",69
"S22LUTSW","PIEN",93,NA,"CU093004","PIEN","RMRS_coefs_2",93
"S22LUTSW","PIGL",94,NA,"CU093004","PIEN","RMRS_coefs_2",93
"S22LUTSW","PIPU",96,NA,"CU093004","PIEN","RMRS_coefs_2",93
"S22LUTSW","PIAL",101,NA,"CU113002","PICO","RMRS_coefs_2",108
"S22LUTSW","PIAR",102,NA,"CU113002","PICO","RMRS_coefs_2",108
"S22LUTSW","PIAT",103,NA,"CU113002","PICO","RMRS_coefs_2",108
"S22LUTSW","PIBA",104,NA,"CU113002","PICO","RMRS_coefs_2",108
"S22LUTSW","PIED",106,NA,"CU106005","","RMRS_coefs_3",106
"S22LUTSW","PICO",108,NA,"CU113002","PICO","RMRS_coefs_2",108
"S22LUTSW","PIEN2",112,NA,"CU122010","PIPO","RMRS_coefs_4",122
"S22LUTSW","PIFL2",113,NA,"CU113002","PICO","RMRS_coefs_2",108
"S22LUTSW","PIST3",114,NA,"CU113002","PICO","RMRS_coefs_2",108
"S22LUTSW","PIJE",116,NA,"CU122010","PIPO","RMRS_coefs_4",122
"S22LUTSW","PILE",118,NA,"CU122010","PIPO","RMRS_coefs_4",122
"S22LUTSW","PIPO",122,NA,"CU122010","PIPO","RMRS_coefs_4",122
"S22LUTSW","PISY",130,NA,"CU000059","PIPU5","RMRS_coefs_1",123
"S22LUTSW","PIMO",133,NA,"CU133001","PIMO","RMRS_coefs_5",133
"S22LUTSW","PIDI3",134,NA,"CU106005","","RMRS_coefs_3",134
"S22LUTSW","PIAR5",135,NA,"CU122010","PIPO","RMRS_coefs_4",122
"S22LUTSW","PINI",136,NA,"CU000059","PIPU5","RMRS_coefs_1",123
"S22LUTSW","PIWA",137,NA,"CU122010","PIPO","RMRS_coefs_4",122
"S22LUTSW","PICE",140,NA,"CU106005","","RMRS_coefs_3",140
"S22LUTSW","PILO",142,NA,"CU113002","PICO","RMRS_coefs_2",108
"S22LUTSW","PIMOF",143,NA,"CU106005","","RMRS_coefs_3",143
"S22LUTSW","PSME",202,NA,"CU202004","PSME","RMRS_coefs_2",202
"S22LUTSW","TABR2",231,NA,"CU122010","PIPO","RMRS_coefs_4",122
"S22LUTSW","THPL",242,NA,"CU000065","THPL","RMRS_coefs_1",242
"S22LUTSW","TSHE",263,NA,"CU000065","TSHE","RMRS_coefs_1",263
"S22LUTSW","TSME",264,NA,"CU000065","TSHE","RMRS_coefs_1",263
"S22LUTSW","ACNE2",313,NA,"CU000059","ACNE2","RMRS_coefs_1",313
"S22LUTSW","ACGR3",322,NA,"CU814001","","RMRS_coefs_5",322
"S22LUTSW","ALRU2",351,NA,"CU746004","POTR5","RMRS_coefs_2",746
"S22LUTSW","ALRH2",352,NA,"CU746004","POTR5","RMRS_coefs_2",746
"S22LUTSW","ALOB2",353,NA,"CU746004","POTR5","RMRS_coefs_2",746
"S22LUTSW","ARME",361,NA,"CU000059","2TREE","RMRS_coefs_1",999
"S22LUTSW","ARAR2",362,NA,"CU000059","2TREE","RMRS_coefs_1",999
"S22LUTSW","BEOC2",374,NA,"CU746004","POTR5","RMRS_coefs_2",746
"S22LUTSW","BEPA",375,NA,"CU746004","POTR5","RMRS_coefs_2",746
"S22LUTSW","CAIL2",404,NA,"CU000059","CARYA","RMRS_coefs_1",400
"S22LUTSW","CELA",461,NA,"CU000059","ULAM","RMRS_coefs_1",972
"S22LUTSW","CEOC",462,NA,"CU000059","ULAM","RMRS_coefs_1",972
"S22LUTSW","CELE3",475,NA,"CU475001","","RMRS_coefs_5",475
"S22LUTSW","CONU4",492,NA,"CU000059","COFL2","RMRS_coefs_1",491
"S22LUTSW","FRPE",544,NA,"CU000059","FRPE","RMRS_coefs_1",544
"S22LUTSW","FRVE2",547,NA,"CU000059","FRPE","RMRS_coefs_1",544
"S22LUTSW","GLTR",552,NA,"CU000059","GLTR","RMRS_coefs_1",552
"S22LUTSW","JUNI",602,NA,"CU000059","JUNI","RMRS_coefs_1",602
"S22LUTSW","JUMA",606,NA,"CU000059","JUNI","RMRS_coefs_1",602
"S22LUTSW","PLWR2",732,NA,"CU000059","PLOC","RMRS_coefs_1",731
"S22LUTSW","POBA2",741,NA,"CU000065","POPUL","RMRS_coefs_1",740
"S22LUTSW","PODE3",742,NA,"CU000065","POPUL","RMRS_coefs_1",740
"S22LUTSW","POMO14",745,NA,"CU000065","POPUL","RMRS_coefs_1",740
"S22LUTSW","POTR5",746,NA,"CU746004","POTR5","RMRS_coefs_2",746
"S22LUTSW","POTR15",747,NA,"CU000065","POPUL","RMRS_coefs_1",740
"S22LUTSW","POFR2",748,NA,"CU000065","POPUL","RMRS_coefs_1",740
"S22LUTSW","POAN3",749,NA,"CU000065","POPUL","RMRS_coefs_1",740
"S22LUTSW","PRGL2",756,NA,"CU755001","PRVE","RMRS_coefs_6",757
"S22LUTSW","PRVE",757,NA,"CU755001","PRVE","RMRS_coefs_6",757
"S22LUTSW","PRPU",758,NA,"CU755001","PRVE","RMRS_coefs_6",757
"S22LUTSW","QUAR",803,NA,"CU800002","","RMRS_coefs_6",803
"S22LUTSW","QUEM",810,NA,"CU800002","","RMRS_coefs_6",810
"S22LUTSW","QUGA",814,NA,"CU814001","","RMRS_coefs_5",814
"S22LUTSW","QUMA2",823,NA,"CU000059","QUMA2","RMRS_coefs_1",823
"S22LUTSW","QUMU",826,NA,"CU000059","QUMU","RMRS_coefs_1",826
"S22LUTSW","QUOB",829,NA,"CU800002","","RMRS_coefs_6",829
"S22LUTSW","QUHY",843,NA,"CU800002","","RMRS_coefs_6",843
"S22LUTSW","QUGR3",846,NA,"CU800002","","RMRS_coefs_6",846
"S22LUTSW","QURU4",847,NA,"CU800002","","RMRS_coefs_6",847
"S22LUTSW","ROPS",901,NA,"CU000059","GLTR","RMRS_coefs_1",552
"S22LUTSW","ULAM",972,NA,"CU000059","ULAM","RMRS_coefs_1",972
"S22LUTSW","ULPU",974,NA,"CU000059","ULAM","RMRS_coefs_1",972
