"CONFIG_ID","SPECIES_SYMBOL","SPECIES_NUM","CF_MIN_DBH","CF_VOL_EQ","CF_VOL_SP","COEF_TABLE","COEF_TBL_SP"
"S26LCA","ABAM",11,5,"CU000077","ABAM","PNW_coefs_2",11
"S26LCA","ABBR",14,5,"CU020001","","PNW_coefs_6",14
"S26LCA","ABCO",15,5,"CU015005","","PNW_coefs_5",15
"S26LCA","ABGR",17,5,"CU015005","","PNW_coefs_5",17
"S26LCA","ABLA",19,5,"CU020001","","PNW_coefs_6",19
"S26LCA","ABMA",20,5,"CU020001","","PNW_coefs_6",20
"S26LCA","ABSH",21,5,"CU020001","","PNW_coefs_6",21
"S26LCA","ABPR",22,5,"CU020001","","PNW_coefs_6",22
"S26LCA","CHLA",41,5,"CU000082","THPL","PNW_coefs_3",242
"S26LCA","CHNO",42,5,"CU000082","THPL","PNW_coefs_3",242
"S26LCA","CUPRE",50,5,"CU081001","","PNW_coefs_7",50
"S26LCA","CUAR",51,5,"CU081001","","PNW_coefs_7",51
"S26LCA","CUBA",52,5,"CU081001","","PNW_coefs_7",52
"S26LCA","CUFO2",53,5,"CU081001","","PNW_coefs_7",53
"S26LCA","CUMA2",54,5,"CU081001","","PNW_coefs_7",54
"S26LCA","CUSA3",55,5,"CU081001","","PNW_coefs_7",55
"S26LCA","JUCA7",62,5,"CU065002","","RMRS_coefs_5",62
"S26LCA","JUOC",64,5,"CU064012","","PNW_coefs_21",64
"S26LCA","JUOS",65,5,"CU065002","","RMRS_coefs_5",65
"S26LCA","JUSC2",66,5,"CU066001","","RMRS_coefs_5",66
"S26LCA","CADE27",81,5,"CU081001","","PNW_coefs_7",81
"S26LCA","PIBR",92,5,"CU000082","PIGL","PNW_coefs_3",94
"S26LCA","PIEN",93,5,"CU000082","PIGL","PNW_coefs_3",94
"S26LCA","PISI",98,5,"CU000082","PIGL","PNW_coefs_3",94
"S26LCA","PIAL",101,5,"CU119005","","PNW_coefs_9",101
"S26LCA","PIAR",102,5,"CU108003","","PNW_coefs_8",102
"S26LCA","PIAT",103,5,"CU108003","","PNW_coefs_8",103
"S26LCA","PIBA",104,5,"CU108003","","PNW_coefs_8",104
"S26LCA","PICO",108,5,"CU108003","","PNW_coefs_8",108
"S26LCA","PICO3",109,5,"CU122011","","PNW_coefs_9",109
