"CONFIG_ID","SPECIES_SYMBOL","SPECIES_NUM","CF_MIN_DBH","CF_VOL_EQ","CF_VOL_SP","COEF_TABLE","COEF_TBL_SP"
"S22LCOE","ABCO",15,NA,"CU093002","ABGR","RMRS_coefs_10",17
"S22LCOE","ABGR",17,NA,"CU093002","ABGR","RMRS_coefs_10",17
"S22LCOE","ABLAA",18,NA,"CU093002","ABLA","RMRS_coefs_10",19
"S22LCOE","ABLA",19,NA,"CU093002","ABLA","RMRS_coefs_10",19
"S22LCOE","ABMA",20,NA,"CU093002","ABGR","RMRS_coefs_10",17
"S22LCOE","ABSH",21,NA,"CU093002","ABGR","RMRS_coefs_10",17
"S22LCOE","ABPR",22,NA,"CU093002","ABGR","RMRS_coefs_10",17
"S22LCOE","CUAR",51,NA,"CU122004","PIPO","RMRS_coefs_10",122
"S22LCOE","JUPI",58,NA,"CU064006","","RMRS_coefs_3",58
"S22LCOE","JUCO11",59,NA,"CU064006","","RMRS_coefs_3",59
"S22LCOE","JUCA7",62,NA,"CU064006","","RMRS_coefs_3",62
"S22LCOE","JUDE2",63,NA,"CU064004","","RMRS_coefs_3",63
"S22LCOE","JUOS",65,NA,"CU064006","JUOS","RMRS_coefs_3",65
"S22LCOE","JUSC2",66,NA,"CU064004","JUSC2","RMRS_coefs_3",66
"S22LCOE","JUVI",68,NA,"CU000059","JUVI","RMRS_coefs_1",68
"S22LCOE","JUMO",69,NA,"CU064006","","RMRS_coefs_3",69
"S22LCOE","PIEN",93,NA,"CU093002","PIEN","RMRS_coefs_10",93
"S22LCOE","PIGL",94,NA,"CU093002","PIEN","RMRS_coefs_10",93
"S22LCOE","PIPU",96,NA,"CU093002","PIEN","RMRS_coefs_10",93
"S22LCOE","PIAL",101,NA,"CU108002","PICO","RMRS_coefs_10",108
"S22LCOE","PIAR",102,NA,"CU108002","PICO","RMRS_coefs_10",108
"S22LCOE","PIAT",103,NA,"CU113002","PICO","RMRS_coefs_2",108
"S22LCOE","PIBA",104,NA,"CU108002","PICO","RMRS_coefs_10",108
"S22LCOE","PIED",106,NA,"CU106005","","RMRS_coefs_3",106
"S22LCOE","PICO",108,NA,"CU108002","PICO","RMRS_coefs_10",108
"S22LCOE","PIEN2",112,NA,"CU122004","PIPO","RMRS_coefs_10",122
"S22LCOE","PIFL2",113,NA,"CU108002","PICO","RMRS_coefs_10",108
"S22LCOE","PIST3",114,NA,"CU108002","PICO","RMRS_coefs_10",108
"S22LCOE","PIJE",116,NA,"CU122004","PIPO","RMRS_coefs_10",122
"S22LCOE","PILE",118,NA,"CU122004","PIPO","RMRS_coefs_10",122
"S22LCOE","PIPO",122,NA,"CU122004","PIPO","RMRS_coefs_10",122
"S22LCOE","PISY",130,NA,"CU000059","PIPU5","RMRS_coefs_1",123
"S22LCOE","PIMO",133,NA,"CU133001","PIMO","RMRS_coefs_5",133
"S22LCOE","PIDI3",134,NA,"CU106005","","RMRS_coefs_3",134
"S22LCOE","PIAR5",135,NA,"CU122004","PIPO","RMRS_coefs_10",122
"S22LCOE","PINI",136,NA,"CU000059","PIPU5","RMRS_coefs_1",123
"S22LCOE","PIWA",137,NA,"CU122004","PIPO","RMRS_coefs_10",122
"S22LCOE","PICE",140,NA,"CU106005","","RMRS_coefs_3",140
"S22LCOE","PILO",142,NA,"CU108002","PICO","RMRS_coefs_10",108
"S22LCOE","PIMOF",143,NA,"CU106005","","RMRS_coefs_3",143
"S22LCOE","PSME",202,NA,"CU093002","PSME","RMRS_coefs_10",202
"S22LCOE","TABR2",231,NA,"CU122004","PIPO","RMRS_coefs_10",122
"S22LCOE","THPL",242,NA,"CU000065","THPL","RMRS_coefs_1",242
"S22LCOE","TSHE",263,NA,"CU000065","TSHE","RMRS_coefs_1",263
"S22LCOE","TSME",264,NA,"CU000065","TSHE","RMRS_coefs_1",263
"S22LCOE","ACNE2",313,NA,"CU000059","ACNE2","RMRS_coefs_1",313
"S22LCOE","ACGR3",322,NA,"CU814001","","RMRS_coefs_5",322
"S22LCOE","ALRU2",351,NA,"CU746002","POTR5","RMRS_coefs_10",746
"S22LCOE","ALRH2",352,NA,"CU746002","POTR5","RMRS_coefs_10",746
"S22LCOE","ALOB2",353,NA,"CU746002","POTR5","RMRS_coefs_10",746
"S22LCOE","ARME",361,NA,"CU000059","2TREE","RMRS_coefs_1",999
"S22LCOE","ARAR2",362,NA,"CU000059","2TREE","RMRS_coefs_1",999
"S22LCOE","BEOC2",374,NA,"CU746002","POTR5","RMRS_coefs_10",746
"S22LCOE","BEPA",375,NA,"CU746002","POTR5","RMRS_coefs_10",746
"S22LCOE","CAIL2",404,NA,"CU000059","CARYA","RMRS_coefs_1",400
"S22LCOE","CELA",461,NA,"CU000059","ULAM","RMRS_coefs_1",972
"S22LCOE","CEOC",462,NA,"CU000059","ULAM","RMRS_coefs_1",972
"S22LCOE","CELE3",475,NA,"CU475001","","RMRS_coefs_5",475
"S22LCOE","CONU4",492,NA,"CU000059","COFL2","RMRS_coefs_1",491
"S22LCOE","FRPE",544,NA,"CU000059","FRPE","RMRS_coefs_1",544
"S22LCOE","FRVE2",547,NA,"CU000059","FRPE","RMRS_coefs_1",544
"S22LCOE","GLTR",552,NA,"CU000059","GLTR","RMRS_coefs_1",552
"S22LCOE","JUNI",602,NA,"CU000059","JUNI","RMRS_coefs_1",602
"S22LCOE","JUMA",606,NA,"CU000059","JUNI","RMRS_coefs_1",602
"S22LCOE","PLWR2",732,NA,"CU000059","PLOC","RMRS_coefs_1",731
"S22LCOE","POBA2",741,NA,"CU000065","POPUL","RMRS_coefs_1",740
"S22LCOE","PODE3",742,NA,"CU000065","POPUL","RMRS_coefs_1",740
"S22LCOE","POMO14",745,NA,"CU000065","POPUL","RMRS_coefs_1",740
"S22LCOE","POTR5",746,NA,"CU746002","POTR5","RMRS_coefs_10",746
"S22LCOE","POTR15",747,NA,"CU000065","POPUL","RMRS_coefs_1",740
"S22LCOE","POFR2",748,NA,"CU000065","POPUL","RMRS_coefs_1",740
"S22LCOE","POAN3",749,NA,"CU000065","POPUL","RMRS_coefs_1",740
"S22LCOE","PRGL2",756,NA,"CU755001","PRVE","RMRS_coefs_6",757
