"CONFIG_ID","SPECIES_SYMBOL","SPECIES_NUM","CF_MIN_DBH","CF_VOL_EQ","CF_VOL_SP","COEF_TABLE","COEF_TBL_SP"
"S22LID","ABCO",15,NA,"CU000058","ABGR","RMRS_coefs_7",17
"S22LID","ABGR",17,NA,"CU000058","ABGR","RMRS_coefs_7",17
"S22LID","ABLAA",18,NA,"CU000065","ABLA","RMRS_coefs_1",19
"S22LID","ABLA",19,NA,"CU000065","ABLA","RMRS_coefs_1",19
"S22LID","ABMA",20,NA,"CU000058","ABGR","RMRS_coefs_7",17
"S22LID","ABSH",21,NA,"CU000058","ABGR","RMRS_coefs_7",17
"S22LID","ABPR",22,NA,"CU000058","ABGR","RMRS_coefs_7",17
"S22LID","CUAR",51,NA,"CU000058","PIPO","RMRS_coefs_7",122
"S22LID","JUPI",58,NA,"CU064006","","RMRS_coefs_3",58
"S22LID","JUCO11",59,NA,"CU064006","","RMRS_coefs_3",59
"S22LID","JUCA7",62,NA,"CU064006","","RMRS_coefs_3",62
"S22LID","JUDE2",63,NA,"CU064004","","RMRS_coefs_3",63
"S22LID","JUOC",64,NA,"CU064010","","PNW_coefs_21",64
"S22LID","JUOS",65,NA,"CU064006","JUOS","RMRS_coefs_3",65
"S22LID","JUSC2",66,NA,"CU064004","JUSC2","RMRS_coefs_3",66
"S22LID","JUVI",68,NA,"CU000059","JUVI","RMRS_coefs_1",68
"S22LID","JUMO",69,NA,"CU064006","","RMRS_coefs_3",69
"S22LID","LALY",72,NA,"CU000058","LAOC","RMRS_coefs_7",73
"S22LID","LAOC",73,NA,"CU000058","LAOC","RMRS_coefs_7",73
"S22LID","CADE27",81,NA,"CU000065","THPL","RMRS_coefs_1",242
"S22LID","PIEN",93,NA,"CU000065","PIEN","RMRS_coefs_1",93
"S22LID","PIGL",94,NA,"CU000065","PIEN","RMRS_coefs_1",93
"S22LID","PIPU",96,NA,"CU000065","PIEN","RMRS_coefs_1",93
"S22LID","PIAL",101,NA,"CU000058","PICO","RMRS_coefs_7",108
"S22LID","PIAR",102,NA,"CU000058","PICO","RMRS_coefs_7",108
"S22LID","PIAT",103,NA,"CU113002","PICO","RMRS_coefs_2",108
"S22LID","PIBA",104,NA,"CU000058","PICO","RMRS_coefs_7",108
"S22LID","PIED",106,NA,"CU106005","","RMRS_coefs_3",106
"S22LID","PICO",108,NA,"CU000058","PICO","RMRS_coefs_7",108
"S22LID","PIEN2",112,NA,"CU000058","PIPO","RMRS_coefs_7",122
"S22LID","PIFL2",113,NA,"CU000058","PICO","RMRS_coefs_7",108
"S22LID","PIST3",114,NA,"CU000058","PICO","RMRS_coefs_7",108
"S22LID","PIJE",116,NA,"CU000058","PIPO","RMRS_coefs_7",122
"S22LID","PILA",117,NA,"CU000058","PIMO3","RMRS_coefs_7",119
"S22LID","PILE",118,NA,"CU000058","PIPO","RMRS_coefs_7",122
"S22LID","PIMO3",119,NA,"CU000058","PIMO3","RMRS_coefs_7",119
"S22LID","PIPO",122,NA,"CU000058","PIPO","RMRS_coefs_7",122
"S22LID","PISY",130,NA,"CU000059","PIPU5","RMRS_coefs_1",123
"S22LID","PIMO",133,NA,"CU133001","PIMO","RMRS_coefs_5",133
"S22LID","PIDI3",134,NA,"CU106005","","RMRS_coefs_3",134
"S22LID","PIAR5",135,NA,"CU000058","PIPO","RMRS_coefs_7",122
"S22LID","PINI",136,NA,"CU000059","PIPU5","RMRS_coefs_1",123
"S22LID","PIWA",137,NA,"CU000058","PIPO","RMRS_coefs_7",122
"S22LID","PICE",140,NA,"CU106005","","RMRS_coefs_3",140
"S22LID","PILO",142,NA,"CU000058","PICO","RMRS_coefs_7",108
"S22LID","PIMOF",143,NA,"CU106005","","RMRS_coefs_3",143
"S22LID","PSME",202,NA,"CU000058","PSME","RMRS_coefs_7",202
"S22LID","TABR2",231,NA,"CU000058","PIPO","RMRS_coefs_7",122
"S22LID","THPL",242,NA,"CU000065","THPL","RMRS_coefs_1",242
"S22LID","TSHE",263,NA,"CU000065","TSHE","RMRS_coefs_1",263
"S22LID","TSME",264,NA,"CU000065","TSHE","RMRS_coefs_1",263
"S22LID","ACNE2",313,NA,"CU000059","ACNE2","RMRS_coefs_1",313
"S22LID","ACGR3",322,NA,"CU814001","","RMRS_coefs_5",322
"S22LID","ALRU2",351,NA,"CU000065","POTR5","RMRS_coefs_1",746
"S22LID","ALRH2",352,NA,"CU000065","POTR5","RMRS_coefs_1",746
"S22LID","ALOB2",353,NA,"CU000065","POTR5","RMRS_coefs_1",746
"S22LID","ARME",361,NA,"CU000059","2TREE","RMRS_coefs_1",999
"S22LID","ARAR2",362,NA,"CU000059","2TREE","RMRS_coefs_1",999
"S22LID","BEOC2",374,NA,"CU000065","POTR5","RMRS_coefs_1",746
"S22LID","BEPA",375,NA,"CU000065","POTR5","RMRS_coefs_1",746
"S22LID","CAIL2",404,NA,"CU000059","CARYA","RMRS_coefs_1",400
"S22LID","CELA",461,NA,"CU000059","ULAM","RMRS_coefs_1",972
"S22LID","CEOC",462,NA,"CU000059","ULAM","RMRS_coefs_1",972
"S22LID","CELE3",475,NA,"CU475001","","RMRS_coefs_5",475
"S22LID","CONU4",492,NA,"CU000059","COFL2","RMRS_coefs_1",491
"S22LID","FRPE",544,NA,"CU000059","FRPE","RMRS_coefs_1",544
"S22LID","FRVE2",547,NA,"CU000059","FRPE","RMRS_coefs_1",544
"S22LID","GLTR",552,NA,"CU000059","GLTR","RMRS_coefs_1",552
"S22LID","JUNI",602,NA,"CU000059","JUNI","RMRS_coefs_1",602
"S22LID","JUMA",606,NA,"CU000059","JUNI","RMRS_coefs_1",602
"S22LID","PLWR2",732,NA,"CU000059","PLOC","RMRS_coefs_1",731
"S22LID","POBA2",741,NA,"CU000065","POPUL","RMRS_coefs_1",740
"S22LID","PODE3",742,NA,"CU000065","POPUL","RMRS_coefs_1",740
