"CONFIG_ID","SPECIES_SYMBOL","SPECIES_NUM","CF_MIN_DBH","CF_VOL_EQ","CF_VOL_SP","COEF_TABLE","COEF_TBL_SP"
"S22LMTE","ABCO",15,NA,"CU000058","ABGR","RMRS_coefs_7",17
"S22LMTE","ABGR",17,NA,"CU000058","ABGR","RMRS_coefs_7",17
"S22LMTE","ABLAA",18,NA,"CU000065","ABLA","RMRS_coefs_1",19
"S22LMTE","ABLA",19,NA,"CU000065","ABLA","RMRS_coefs_1",19
"S22LMTE","ABMA",20,NA,"CU000058","ABGR","RMRS_coefs_7",17
"S22LMTE","ABSH",21,NA,"CU000058","ABGR","RMRS_coefs_7",17
"S22LMTE","ABPR",22,NA,"CU000058","ABGR","RMRS_coefs_7",17
"S22LMTE","CUAR",51,NA,"CU122004","PIPO","RMRS_coefs_10",122
"S22LMTE","JUPI",58,NA,"CU064006","","RMRS_coefs_3",58
"S22LMTE","JUCO11",59,NA,"CU064006","","RMRS_coefs_3",59
"S22LMTE","JUCA7",62,NA,"CU064006","","RMRS_coefs_3",62
"S22LMTE","JUDE2",63,NA,"CU064004","","RMRS_coefs_3",63
"S22LMTE","JUOC",64,NA,"CU064010","","PNW_coefs_21",64
"S22LMTE","JUOS",65,NA,"CU064006","JUOS","RMRS_coefs_3",65
"S22LMTE","JUSC2",66,NA,"CU064004","JUSC2","RMRS_coefs_3",66
"S22LMTE","JUVI",68,NA,"CU000059","JUVI","RMRS_coefs_1",68
"S22LMTE","JUMO",69,NA,"CU064006","","RMRS_coefs_3",69
"S22LMTE","LALY",72,NA,"CU000058","LAOC","RMRS_coefs_7",73
"S22LMTE","LAOC",73,NA,"CU000058","LAOC","RMRS_coefs_7",73
"S22LMTE","CADE27",81,NA,"CU000065","THPL","RMRS_coefs_1",242
"S22LMTE","PIEN",93,NA,"CU000065","PIEN","RMRS_coefs_1",93
"S22LMTE","PIGL",94,NA,"CU000065","PIEN","RMRS_coefs_1",93
"S22LMTE","PIPU",96,NA,"CU000065","PIEN","RMRS_coefs_1",93
"S22LMTE","PIAL",101,NA,"CU000058","PICO","RMRS_coefs_7",108
"S22LMTE","PIAR",102,NA,"CU000058","PICO","RMRS_coefs_7",108
"S22LMTE","PIAT",103,NA,"CU113002","PICO","RMRS_coefs_2",108
"S22LMTE","PIBA",104,NA,"CU000058","PICO","RMRS_coefs_7",108
"S22LMTE","PIED",106,NA,"CU106005","","RMRS_coefs_3",106
"S22LMTE","PICO",108,NA,"CU000058","PICO","RMRS_coefs_7",108
"S22LMTE","PIEN2",112,NA,"CU122004","PIPO","RMRS_coefs_10",122
"S22LMTE","PIFL2",113,NA,"CU000058","PICO","RMRS_coefs_7",108
"S22LMTE","PIST3",114,NA,"CU000058","PICO","RMRS_coefs_7",108
"S22LMTE","PIJE",116,NA,"CU122004","PIPO","RMRS_coefs_10",122
"S22LMTE","PILA",117,NA,"CU000058","PIMO3","RMRS_coefs_7",119
"S22LMTE","PILE",118,NA,"CU122004","PIPO","RMRS_coefs_10",122
"S22LMTE","PIMO3",119,NA,"CU000058","PIMO3","RMRS_coefs_7",119
"S22LMTE","PIPO",122,NA,"CU122004","PIPO","RMRS_coefs_10",122
"S22LMTE","PISY",130,NA,"CU000059","PIPU5","RMRS_coefs_1",123
"S22LMTE","PIMO",133,NA,"CU133001","PIMO","RMRS_coefs_5",133
"S22LMTE","PIDI3",134,NA,"CU106005","","RMRS_coefs_3",134
"S22LMTE","PIAR5",135,NA,"CU122004","PIPO","RMRS_coefs_10",122
"S22LMTE","PINI",136,NA,"CU000059","PIPU5","RMRS_coefs_1",123
"S22LMTE","PIWA",137,NA,"CU122004","PIPO","RMRS_coefs_10",122
"S22LMTE","PICE",140,NA,"CU106005","","RMRS_coefs_3",140
"S22LMTE","PILO",142,NA,"CU000058","PICO","RMRS_coefs_7",108
"S22LMTE","PIMOF",143,NA,"CU106005","","RMRS_coefs_3",143
"S22LMTE","PSME",202,NA,"CU000058","PSME","RMRS_coefs_7",202
"S22LMTE","TABR2",231,NA,"CU122004","PIPO","RMRS_coefs_10",122
"S22LMTE","THPL",242,NA,"CU000065","THPL","RMRS_coefs_1",242
"S22LMTE","TSHE",263,NA,"CU000065","TSHE","RMRS_coefs_1",263
"S22LMTE","TSME",264,NA,"CU000065","TSHE","RMRS_coefs_1",263
"S22LMTE","ACNE2",313,NA,"CU000059","ACNE2","RMRS_coefs_1",313
"S22LMTE","ACGR3",322,NA,"CU814001","","RMRS_coefs_5",322
"S22LMTE","ALRU2",351,NA,"CU000065","POTR5","RMRS_coefs_1",746
"S22LMTE","ALRH2",352,NA,"CU000065","POTR5","RMRS_coefs_1",746
"S22LMTE","ALOB2",353,NA,"CU000065","POTR5","RMRS_coefs_1",746
"S22LMTE","ARME",361,NA,"CU000059","2TREE","RMRS_coefs_1",999
"S22LMTE","ARAR2",362,NA,"CU000059","2TREE","RMRS_coefs_1",999
"S22LMTE","BEOC2",374,NA,"CU000065","POTR5","RMRS_coefs_1",746
"S22LMTE","BEPA",375,NA,"CU000065","POTR5","RMRS_coefs_1",746
"S22LMTE","CAIL2",404,NA,"CU000059","CARYA","RMRS_coefs_1",400
"S22LMTE","CELA",461,NA,"CU000059","ULAM","RMRS_coefs_1",972
"S22LMTE","CEOC",462,NA,"CU000059","ULAM","RMRS_coefs_1",972
"S22LMTE","CELE3",475,NA,"CU475001","","RMRS_coefs_5",475
"S22LMTE","CONU4",492,NA,"CU000059","COFL2","RMRS_coefs_1",491
"S22LMTE","FRPE",544,NA,"CU000059","FRPE","RMRS_coefs_1",544
"S22LMTE","FRVE2",547,NA,"CU000059","FRPE","RMRS_coefs_1",544
"S22LMTE","GLTR",552,NA,"CU000059","GLTR","RMRS_coefs_1",552
"S22LMTE","JUNI",602,NA,"CU000059","JUNI","RMRS_coefs_1",602
"S22LMTE","JUMA",606,NA,"CU000059","JUNI","RMRS_coefs_1",602
"S22LMTE","PLWR2",732,NA,"CU000059","PLOC","RMRS_coefs_1",731
"S22LMTE","POBA2",741,NA,"CU000065","POPUL","RMRS_coefs_1",740
"S22LMTE","PODE3",742,NA,"CU000065","POPUL","RMRS_coefs_1",740
"S22LMTE","POMO14",745,NA,"CU000065","POPUL","RMRS_coefs_1",740
"S22LMTE","POTR5",746,NA,"CU000065","POTR5","RMRS_coefs_1",746
"S22LMTE","POTR15",747,NA,"CU000065","POPUL","RMRS_coefs_1",740
"S22LMTE","POFR2",748,NA,"CU000065","POPUL","RMRS_coefs_1",740
"S22LMTE","POAN3",749,NA,"CU000065","POPUL","RMRS_coefs_1",740
"S22LMTE","PRGL2",756,NA,"CU755001","PRVE","RMRS_coefs_6",757
"S22LMTE","PRVE",757,NA,"CU755001","PRVE","RMRS_coefs_6",757
"S22LMTE","PRPU",758,NA,"CU755001","PRVE","RMRS_coefs_6",757
