"CONFIG_ID","SPECIES_SYMBOL","SPECIES_NUM","CF_MIN_DBH","CF_VOL_EQ","CF_VOL_SP","COEF_TABLE","COEF_TBL_SP"
"S24","ABIES",10,5,"CU000052","ABBA","NE_coefs",12
"S24","ABBA",12,5,"CU000052","ABBA","NE_coefs",12
"S24","ABFR",16,5,"CU000052","ABBA","NE_coefs",12
"S24","CHTH2",43,5,"CU000052","THOC2","NE_coefs",241
"S24","JUNIP",57,5,"CU000052","THOC2","NE_coefs",241
"S24","JUVI",68,5,"CU000052","THOC2","NE_coefs",241
"S24","LARIX",70,5,"CU000052","PITA","NE_coefs",131
"S24","LALA",71,5,"CU000052","PITA","NE_coefs",131
"S24","PICEA",90,5,"CU000052","PIGL","NE_coefs",94
"S24","PIAB",91,5,"CU000052","PITA","NE_coefs",131
"S24","PIGL",94,5,"CU000052","PIGL","NE_coefs",94
"S24","PIMA",95,5,"CU000052","PIGL","NE_coefs",94
"S24","PIPU",96,5,"CU000052","PIGL","NE_coefs",94
"S24","PIRU",97,5,"CU000052","PIGL","NE_coefs",94
"S24","PINUS",100,5,"CU000052","PITA","NE_coefs",131
"S24","PIBA2",105,5,"CU000052","PITA","NE_coefs",131
"S24","PIEC2",110,5,"CU000052","PITA","NE_coefs",131
"S24","PIPU5",123,5,"CU000052","PITA","NE_coefs",131
"S24","PIRE",125,5,"CU000052","PIST","NE_coefs",129
"S24","PIRI",126,5,"CU000052","PITA","NE_coefs",131
"S24","PISE",128,5,"CU000052","PITA","NE_coefs",131
"S24","PIST",129,5,"CU000052","PIST","NE_coefs",129
"S24","PISY",130,5,"CU000052","PITA","NE_coefs",131
"S24","PITA",131,5,"CU000052","PITA","NE_coefs",131
"S24","PIVI2",132,5,"CU000052","PITA","NE_coefs",131
"S24","PINI",136,5,"CU000052","PITA","NE_coefs",131
"S24","PSME",202,5,"CU000052","PITA","NE_coefs",131
"S24","TADI2",221,5,"CU000052","THOC2","NE_coefs",241
"S24","THOC2",241,5,"CU000052","THOC2","NE_coefs",241
"S24","TSUGA",260,5,"CU000052","TSCA","NE_coefs",261
"S24","TSCA",261,5,"CU000052","TSCA","NE_coefs",261
"S24","2TE",299,5,"CU000052","PITA","NE_coefs",131
"S24","ACER",310,5,"CU000052","2TREE","NE_coefs",999
