"CONFIG_ID","SPECIES_SYMBOL","SPECIES_NUM","CF_MIN_DBH","CF_VOL_EQ","CF_VOL_SP","COEF_TABLE","COEF_TBL_SP"
"S22LNV","ABCO",15,NA,"CU093002","ABGR","RMRS_coefs_10",17
"S22LNV","ABGR",17,NA,"CU093002","ABGR","RMRS_coefs_10",17
"S22LNV","ABLAA",18,NA,"CU093002","ABLA","RMRS_coefs_10",19
"S22LNV","ABLA",19,NA,"CU093002","ABLA","RMRS_coefs_10",19
"S22LNV","ABMA",20,NA,"CU093002","ABGR","RMRS_coefs_10",17
"S22LNV","ABSH",21,NA,"CU093002","ABGR","RMRS_coefs_10",17
"S22LNV","ABPR",22,NA,"CU093002","ABGR","RMRS_coefs_10",17
"S22LNV","CUAR",51,NA,"CU122002","PIPO","RMRS_coefs_11",122
"S22LNV","JUPI",58,NA,"CU064006","","RMRS_coefs_3",58
"S22LNV","JUCO11",59,NA,"CU064006","","RMRS_coefs_3",59
"S22LNV","JUCA7",62,NA,"CU064006","","RMRS_coefs_3",62
"S22LNV","JUDE2",63,NA,"CU064004","","RMRS_coefs_3",63
"S22LNV","JUOC",64,NA,"CU064010","","PNW_coefs_21",64
"S22LNV","JUOS",65,NA,"CU064006","JUOS","RMRS_coefs_3",65
"S22LNV","JUSC2",66,NA,"CU064004","JUSC2","RMRS_coefs_3",66
"S22LNV","JUVI",68,NA,"CU000059","JUVI","RMRS_coefs_1",68
"S22LNV","JUMO",69,NA,"CU064006","","RMRS_coefs_3",69
"S22LNV","PIEN",93,NA,"CU093002","PIEN","RMRS_coefs_10",93
"S22LNV","PIGL",94,NA,"CU093002","PIEN","RMRS_coefs_10",93
"S22LNV","PIPU",96,NA,"CU093002","PIEN","RMRS_coefs_10",93
"S22LNV","PIAL",101,NA,"CU108002","PICO","RMRS_coefs_10",108
"S22LNV","PIAR",102,NA,"CU108002","PICO","RMRS_coefs_10",108
"S22LNV","PIAT",103,NA,"CU113002","PICO","RMRS_coefs_2",108
"S22LNV","PIBA",104,NA,"CU108002","PICO","RMRS_coefs_10",108
"S22LNV","PIED",106,NA,"CU106005","","RMRS_coefs_3",106
"S22LNV","PICO",108,NA,"CU108002","PICO","RMRS_coefs_10",108
"S22LNV","PIEN2",112,NA,"CU122002","PIPO","RMRS_coefs_11",122
"S22LNV","PIFL2",113,NA,"CU108002","PICO","RMRS_coefs_10",108
"S22LNV","PIST3",114,NA,"CU108002","PICO","RMRS_coefs_10",108
"S22LNV","PIJE",116,NA,"CU122002","PIPO","RMRS_coefs_11",122
"S22LNV","PILA",117,NA,"CU000058","PIMO3","RMRS_coefs_7",119
"S22LNV","PILE",118,NA,"CU122002","PIPO","RMRS_coefs_11",122
"S22LNV","PIMO3",119,NA,"CU000058","PIMO3","RMRS_coefs_7",119
"S22LNV","PIPO",122,NA,"CU122002","PIPO","RMRS_coefs_11",122
"S22LNV","PISY",130,NA,"CU000059","PIPU5","RMRS_coefs_1",123
"S22LNV","PIMO",133,NA,"CU133001","PIMO","RMRS_coefs_5",133
"S22LNV","PIDI3",134,NA,"CU106005","","RMRS_coefs_3",134
"S22LNV","PIAR5",135,NA,"CU122002","PIPO","RMRS_coefs_11",122
"S22LNV","PINI",136,NA,"CU000059","PIPU5","RMRS_coefs_1",123
"S22LNV","PIWA",137,NA,"CU122002","PIPO","RMRS_coefs_11",122
"S22LNV","PICE",140,NA,"CU106005","","RMRS_coefs_3",140
"S22LNV","PILO",142,NA,"CU108002","PICO","RMRS_coefs_10",108
"S22LNV","PIMOF",143,NA,"CU106005","","RMRS_coefs_3",143
"S22LNV","PSME",202,NA,"CU093002","PSME","RMRS_coefs_10",202
"S22LNV","TABR2",231,NA,"CU122002","PIPO","RMRS_coefs_11",122
"S22LNV","ACNE2",313,NA,"CU000059","ACNE2","RMRS_coefs_1",313
"S22LNV","ACGR3",322,NA,"CU814001","","RMRS_coefs_5",322
"S22LNV","ALRU2",351,NA,"CU746002","POTR5","RMRS_coefs_10",746
"S22LNV","ALRH2",352,NA,"CU746002","POTR5","RMRS_coefs_10",746
"S22LNV","ALOB2",353,NA,"CU746002","POTR5","RMRS_coefs_10",746
"S22LNV","ARME",361,NA,"CU000059","2TREE","RMRS_coefs_1",999
"S22LNV","ARAR2",362,NA,"CU000059","2TREE","RMRS_coefs_1",999
"S22LNV","BEOC2",374,NA,"CU746002","POTR5","RMRS_coefs_10",746
"S22LNV","BEPA",375,NA,"CU746002","POTR5","RMRS_coefs_10",746
"S22LNV","CAIL2",404,NA,"CU000059","CARYA","RMRS_coefs_1",400
"S22LNV","CELA",461,NA,"CU000059","ULAM","RMRS_coefs_1",972
"S22LNV","CEOC",462,NA,"CU000059","ULAM","RMRS_coefs_1",972
"S22LNV","CELE3",475,NA,"CU475001","","RMRS_coefs_5",475
"S22LNV","CONU4",492,NA,"CU000059","COFL2","RMRS_coefs_1",491
"S22LNV","FRPE",544,NA,"CU000059","FRPE","RMRS_coefs_1",544
"S22LNV","FRVE2",547,NA,"CU000059","FRPE","RMRS_coefs_1",544
"S22LNV","GLTR",552,NA,"CU000059","GLTR","RMRS_coefs_1",552
"S22LNV","JUNI",602,NA,"CU000059","JUNI","RMRS_coefs_1",602
"S22LNV","JUMA",606,NA,"CU000059","JUNI","RMRS_coefs_1",602
"S22LNV","PLWR2",732,NA,"CU000059","PLOC","RMRS_coefs_1",731
"S22LNV","POBA2",741,NA,"CU000065","POPUL","RMRS_coefs_1",740
"S22LNV","PODE3",742,NA,"CU000065","POPUL","RMRS_coefs_1",740
"S22LNV","POMO14",745,NA,"CU000065","POPUL","RMRS_coefs_1",740
"S22LNV","POTR5",746,NA,"CU746002","POTR5","RMRS_coefs_10",746
"S22LNV","POTR15",747,NA,"CU000065","POPUL","RMRS_coefs_1",740
"S22LNV","POFR2",748,NA,"CU000065","POPUL","RMRS_coefs_1",740
"S22LNV","POAN3",749,NA,"CU000065","POPUL","RMRS_coefs_1",740
"S22LNV","PRGL2",756,NA,"CU755001","PRVE","RMRS_coefs_6",757
"S22LNV","PRVE",757,NA,"CU755001","PRVE","RMRS_coefs_6",757
"S22LNV","PRPU",758,NA,"CU755001","PRVE","RMRS_coefs_6",757
"S22LNV","QUAR",803,NA,"CU800002","","RMRS_coefs_6",803
"S22LNV","QUEM",810,NA,"CU800002","","RMRS_coefs_6",810
"S22LNV","QUGA",814,NA,"CU814001","","RMRS_coefs_5",814
"S22LNV","QUMA2",823,NA,"CU000059","QUMA2","RMRS_coefs_1",823
"S22LNV","QUMU",826,NA,"CU000059","QUMU","RMRS_coefs_1",826
"S22LNV","QUOB",829,NA,"CU800002","","RMRS_coefs_6",829
"S22LNV","QUHY",843,NA,"CU800002","","RMRS_coefs_6",843
"S22LNV","QUGR3",846,NA,"CU800002","","RMRS_coefs_6",846
"S22LNV","QURU4",847,NA,"CU800002","","RMRS_coefs_6",847
"S22LNV","ROPS",901,NA,"CU000059","GLTR","RMRS_coefs_1",552
"S22LNV","ULAM",972,NA,"CU000059","ULAM","RMRS_coefs_1",972
"S22LNV","ULPU",974,NA,"CU000059","ULAM","RMRS_coefs_1",972
