"Species","X..of.stems","B1","B2","B3","B4","B5","B6"
63,"1",-0.032,2.1076,0.1454,15.675,62.827,6
63,"2 or more",-0.129,2.0255,0.1011,10.786,43.663,6
66,"1",-0.032,2.1076,0.1454,15.675,62.827,6
66,"2 or more",-0.129,2.0255,0.1011,10.786,43.663,6
321,"1",-0.068,2.4048,0.1383,6.571,17.704,4
321,"2 or more",-0.028,1.9545,0.14,6.691,17.918,4
757,"1",-0.068,2.4048,0.1383,6.571,17.704,4
757,"2 or more",-0.028,1.9545,0.14,6.691,17.918,4
810,"1",-0.068,2.4048,0.1383,6.571,17.704,4
810,"2 or more",-0.028,1.9545,0.14,6.691,17.918,4
843,"1",-0.068,2.4048,0.1383,6.571,17.704,4
843,"2 or more",-0.028,1.9545,0.14,6.691,17.918,4
846,"1",-0.068,2.4048,0.1383,6.571,17.704,4
846,"2 or more",-0.028,1.9545,0.14,6.691,17.918,4
867,"1",-0.068,2.4048,0.1383,6.571,17.704,4
867,"2 or more",-0.028,1.9545,0.14,6.691,17.918,4
8513,"1",-0.068,2.4048,0.1383,6.571,17.704,4
8513,"2 or more",-0.028,1.9545,0.14,6.691,17.918,4
