"CONFIG_ID","SPECIES_SYMBOL","SPECIES_NUM","CF_MIN_DBH","CF_VOL_EQ","CF_VOL_SP","COEF_TABLE","COEF_TBL_SP"
"S22LUTNE","ABCO",15,NA,"CU093002","ABGR","RMRS_coefs_10",17
"S22LUTNE","ABGR",17,NA,"CU093002","ABGR","RMRS_coefs_10",17
"S22LUTNE","ABLAA",18,NA,"CU093002","ABLA","RMRS_coefs_10",19
"S22LUTNE","ABLA",19,NA,"CU093002","ABLA","RMRS_coefs_10",19
"S22LUTNE","ABMA",20,NA,"CU093002","ABGR","RMRS_coefs_10",17
"S22LUTNE","ABSH",21,NA,"CU093002","ABGR","RMRS_coefs_10",17
"S22LUTNE","ABPR",22,NA,"CU093002","ABGR","RMRS_coefs_10",17
"S22LUTNE","CUAR",51,NA,"CU122002","PIPO","RMRS_coefs_11",122
"S22LUTNE","JUPI",58,NA,"CU064006","","RMRS_coefs_3",58
"S22LUTNE","JUCO11",59,NA,"CU064006","","RMRS_coefs_3",59
"S22LUTNE","JUCA7",62,NA,"CU064006","","RMRS_coefs_3",62
"S22LUTNE","JUDE2",63,NA,"CU064004","","RMRS_coefs_3",63
"S22LUTNE","JUOS",65,NA,"CU064006","JUOS","RMRS_coefs_3",65
"S22LUTNE","JUSC2",66,NA,"CU064004","JUSC2","RMRS_coefs_3",66
"S22LUTNE","JUVI",68,NA,"CU000059","JUVI","RMRS_coefs_1",68
"S22LUTNE","JUMO",69,NA,"CU064006","","RMRS_coefs_3",69
"S22LUTNE","PIEN",93,NA,"CU093002","PIEN","RMRS_coefs_10",93
"S22LUTNE","PIGL",94,NA,"CU093002","PIEN","RMRS_coefs_10",93
"S22LUTNE","PIPU",96,NA,"CU093002","PIEN","RMRS_coefs_10",93
"S22LUTNE","PIAL",101,NA,"CU108002","PICO","RMRS_coefs_10",108
"S22LUTNE","PIAR",102,NA,"CU108002","PICO","RMRS_coefs_10",108
"S22LUTNE","PIAT",103,NA,"CU113002","PICO","RMRS_coefs_2",108
"S22LUTNE","PIED",106,NA,"CU106005","","RMRS_coefs_3",106
"S22LUTNE","PICO",108,NA,"CU108002","PICO","RMRS_coefs_10",108
"S22LUTNE","PIEN2",112,NA,"CU122002","PIPO","RMRS_coefs_11",122
"S22LUTNE","PIFL2",113,NA,"CU108002","PICO","RMRS_coefs_10",108
"S22LUTNE","PIST3",114,NA,"CU108002","PICO","RMRS_coefs_10",108
"S22LUTNE","PIJE",116,NA,"CU122002","PIPO","RMRS_coefs_11",122
"S22LUTNE","PILE",118,NA,"CU122002","PIPO","RMRS_coefs_11",122
"S22LUTNE","PIPO",122,NA,"CU122002","PIPO","RMRS_coefs_11",122
"S22LUTNE","PISY",130,NA,"CU000059","PIPU5","RMRS_coefs_1",123
"S22LUTNE","PIMO",133,NA,"CU133001","PIMO","RMRS_coefs_5",133
"S22LUTNE","PIDI3",134,NA,"CU106005","","RMRS_coefs_3",134
"S22LUTNE","PIAR5",135,NA,"CU122002","PIPO","RMRS_coefs_11",122
"S22LUTNE","PINI",136,NA,"CU000059","PIPU5","RMRS_coefs_1",123
"S22LUTNE","PIWA",137,NA,"CU122002","PIPO","RMRS_coefs_11",122
"S22LUTNE","PICE",140,NA,"CU106005","","RMRS_coefs_3",140
"S22LUTNE","PILO",142,NA,"CU108002","PICO","RMRS_coefs_10",108
"S22LUTNE","PIMOF",143,NA,"CU106005","","RMRS_coefs_3",143
"S22LUTNE","PSME",202,NA,"CU093002","PSME","RMRS_coefs_10",202
"S22LUTNE","TABR2",231,NA,"CU122002","PIPO","RMRS_coefs_11",122
"S22LUTNE","THPL",242,NA,"CU000065","THPL","RMRS_coefs_1",242
"S22LUTNE","TSHE",263,NA,"CU000065","TSHE","RMRS_coefs_1",263
"S22LUTNE","TSME",264,NA,"CU000065","TSHE","RMRS_coefs_1",263
"S22LUTNE","ACNE2",313,NA,"CU000059","ACNE2","RMRS_coefs_1",313
