"CONFIG_ID","SPECIES_SYMBOL","SPECIES_NUM","CF_MIN_DBH","CF_VOL_EQ","CF_VOL_SP","COEF_TABLE","COEF_TBL_SP","NA."
"S26LWACF","ABAM",11,5,"CU000077","ABAM","PNW_coefs_2",11,""
"S26LWACF","ABCO",15,5,"CU000077","ABAM","PNW_coefs_2",11,""
"S26LWACF","ABGR",17,5,"CU000077","ABAM","PNW_coefs_2",11,""
"S26LWACF","ABLA",19,5,"CU000077","ABAM","PNW_coefs_2",11,""
"S26LWACF","ABPR",22,5,"CU000077","ABAM","PNW_coefs_2",11,""
"S26LWACF","CHLA",41,5,"CU081001","","PNW_coefs_7",41,""
"S26LWACF","CHNO",42,5,"CU000077","THPL","PNW_coefs_2",242,""
"S26LWACF","JUOC",64,5,"CU064012","","PNW_coefs_21",64,""
"S26LWACF","LALY",72,5,"CU000087","LAOC","PNW_coefs_2",73,""
"S26LWACF","LAOC",73,5,"CU000087","LAOC","PNW_coefs_2",73,""
"S26LWACF","CADE27",81,5,"CU081001","","PNW_coefs_7",81,""
"S26LWACF","PIEN",93,5,"CU000077","PISI","PNW_coefs_2",98,""
"S26LWACF","PISI",98,5,"CU000077","PISI","PNW_coefs_2",98,""
"S26LWACF","PIAL",101,5,"CU000087","PICO","PNW_coefs_2",108,""
"S26LWACF","PICO",108,5,"CU000087","PICO","PNW_coefs_2",108,""
"S26LWACF","PILA",117,5,"CU119005","","PNW_coefs_9",117,""
"S26LWACF","PIMO3",119,5,"CU000087","PICO","PNW_coefs_2",108,""
"S26LWACF","PIPO",122,5,"CU000092","PIPO","PNW_coefs_15",122,""
"S26LWACF","PIMO",133,5,"CU133001","","RMRS_coefs_5",133,""
"S26LWACF","PSME",202,5,"CU202020","","PNW_coefs_16",202,""
"S26LWACF","TABR2",231,5,"CU000077","THPL","PNW_coefs_2",242,""
"S26LWACF","THPL",242,5,"CU000077","THPL","PNW_coefs_2",242,""
"S26LWACF","TSHE",263,5,"CU263004","","PNW_coefs_11",263,""
"S26LWACF","TSME",264,5,"CU264003","","PNW_coefs_12",264,""
"S26LWACF","2TE",299,5,"CU264003","","PNW_coefs_12",299,""
"S26LWACF","ACMA3",312,5,"CU351004","","PNW_coefs_13",312,""
"S26LWACF","ACNE2",313,5,"CU351004","","PNW_coefs_13",313,""
"S26LWACF","ACGL",321,5,"CU475001","","RMRS_coefs_5",321,""
"S26LWACF","ALRU2",351,5,"CU000087","ALRU2","PNW_coefs_2",351,""
"S26LWACF","ALRH2",352,5,"CU000087","ALRU2","PNW_coefs_2",351,""
"S26LWACF","ARME",361,5,"CU351004","","PNW_coefs_13",361,""
"S26LWACF","BETUL",370,5,"CU351004","","PNW_coefs_13",370,""
"S26LWACF","BEOC2",374,5,"CU351004","","PNW_coefs_13",374,""
"S26LWACF","BEPA",375,5,"CU351004","","PNW_coefs_13",375,""
"S26LWACF","CHCHC4",431,5,"CU351004","","PNW_coefs_13",431,""
"S26LWACF","CELE3",475,5,"CU475001","","RMRS_coefs_5",475,""
"S26LWACF","CONU4",492,5,"CU351004","","PNW_coefs_13",492,""
"S26LWACF","CRATA",500,5,"CU351004","","PNW_coefs_13",500,""
"S26LWACF","FRAXI",540,5,"CU351004","","PNW_coefs_13",540,""
"S26LWACF","FRLA",542,5,"CU351004","","PNW_coefs_13",542,""
"S26LWACF","ILOP",591,5,"CU351004","","PNW_coefs_13",591,""
"S26LWACF","JUGLA",600,5,"CU351004","","PNW_coefs_13",600,""
"S26LWACF","JUNI",602,5,"CU351004","","PNW_coefs_13",602,""
"S26LWACF","LIDE3",631,5,"CU351004","","PNW_coefs_13",631,""
"S26LWACF","MALUS",660,5,"CU351004","","PNW_coefs_13",660,""
"S26LWACF","MAFU",661,5,"CU351004","","PNW_coefs_13",661,""
"S26LWACF","PLRA",730,5,"CU351004","","PNW_coefs_13",730,""
"S26LWACF","POTR5",746,5,"CU351004","","PNW_coefs_13",746,""
"S26LWACF","POBAT",747,5,"CU351004","","PNW_coefs_13",747,""
"S26LWACF","PRUNU",760,5,"CU351004","","PNW_coefs_13",760,""
"S26LWACF","PRVI",763,5,"CU351004","","PNW_coefs_13",763,""
"S26LWACF","PRAM",766,5,"CU351004","","PNW_coefs_13",766,""
"S26LWACF","PREM",768,5,"CU351004","","PNW_coefs_13",768,""
"S26LWACF","QUGA4",815,5,"CU351004","","PNW_coefs_13",815,""
"S26LWACF","ROPS",901,5,"CU351004","","PNW_coefs_13",901,""
"S26LWACF","SALIX",920,5,"CU351004","","PNW_coefs_13",920,""
"S26LWACF","ELAN",997,5,"CU351004","","PNW_coefs_13",997,""
"S26LWACF","2TB",998,5,"CU351004","","PNW_coefs_13",998,""
"S26LWACF","2TREE",999,5,"CU351004","","PNW_coefs_13",999,""
