"CONFIG_ID","SPECIES_SYMBOL","SPECIES_NUM","CF_MIN_DBH","CF_VOL_EQ","CF_VOL_SP","COEF_TABLE","COEF_TBL_SP","NA."
"S26LWWA","ABAM",11,5,"CU000077","ABAM","PNW_coefs_2",11,""
"S26LWWA","ABCO",15,5,"CU000077","ABAM","PNW_coefs_2",11,""
"S26LWWA","ABGR",17,5,"CU000077","ABAM","PNW_coefs_2",11,""
"S26LWWA","ABLA",19,5,"CU000077","ABAM","PNW_coefs_2",11,""
"S26LWWA","ABPR",22,5,"CU000077","ABAM","PNW_coefs_2",11,""
"S26LWWA","CHLA",41,5,"CU081001","","PNW_coefs_7",41,""
"S26LWWA","CHNO",42,5,"CU000077","THPL","PNW_coefs_2",242,""
"S26LWWA","JUOC",64,5,"CU064012","","PNW_coefs_21",64,""
"S26LWWA","LALY",72,5,"CU000087","LAOC","PNW_coefs_2",73,""
"S26LWWA","LAOC",73,5,"CU000087","LAOC","PNW_coefs_2",73,""
"S26LWWA","CADE27",81,5,"CU081001","","PNW_coefs_7",81,""
"S26LWWA","PIEN",93,5,"CU000077","PISI","PNW_coefs_2",98,""
"S26LWWA","PISI",98,5,"CU000077","PISI","PNW_coefs_2",98,""
"S26LWWA","PIAL",101,5,"CU000087","PICO","PNW_coefs_2",108,""
"S26LWWA","PIAT",103,5,"CU000087","PICO","PNW_coefs_2",108,""
"S26LWWA","PICO",108,5,"CU000087","PICO","PNW_coefs_2",108,""
"S26LWWA","PILA",117,5,"CU119005","","PNW_coefs_9",117,""
"S26LWWA","PIMO3",119,5,"CU000087","PICO","PNW_coefs_2",108,""
"S26LWWA","PIPO",122,5,"CU000092","PIPO","PNW_coefs_15",122,""
"S26LWWA","PIMO",133,5,"CU133001","","RMRS_coefs_5",133,""
"S26LWWA","PSME",202,5,"CU202020","","PNW_coefs_16",202,""
"S26LWWA","TABR2",231,5,"CU000077","THPL","PNW_coefs_2",242,""
"S26LWWA","THPL",242,5,"CU000077","THPL","PNW_coefs_2",242,""
"S26LWWA","TSHE",263,5,"CU263004","","PNW_coefs_11",263,""
"S26LWWA","TSME",264,5,"CU264003","","PNW_coefs_12",264,""
"S26LWWA","2TE",299,5,"CU264003","","PNW_coefs_12",299,""
"S26LWWA","ACMA3",312,5,"CU351004","","PNW_coefs_13",312,""
"S26LWWA","ACNE2",313,5,"CU351004","","PNW_coefs_13",313,""
"S26LWWA","ACGL",321,5,"CU475001","","RMRS_coefs_5",321,""
"S26LWWA","ALRU2",351,5,"CU000087","ALRU2","PNW_coefs_2",351,""
"S26LWWA","ALRH2",352,5,"CU000087","ALRU2","PNW_coefs_2",351,""
"S26LWWA","ARME",361,5,"CU351004","","PNW_coefs_13",361,""
"S26LWWA","BETUL",370,5,"CU351004","","PNW_coefs_13",370,""
"S26LWWA","BEOC2",374,5,"CU351004","","PNW_coefs_13",374,""
"S26LWWA","BEPA",375,5,"CU351004","","PNW_coefs_13",375,""
"S26LWWA","CHCHC4",431,5,"CU351004","","PNW_coefs_13",431,""
"S26LWWA","CELE3",475,5,"CU475001","","RMRS_coefs_5",475,""
"S26LWWA","CONU4",492,5,"CU351004","","PNW_coefs_13",492,""
"S26LWWA","CRATA",500,5,"CU351004","","PNW_coefs_13",500,""
"S26LWWA","FRAXI",540,5,"CU351004","","PNW_coefs_13",540,""
"S26LWWA","FRLA",542,5,"CU351004","","PNW_coefs_13",542,""
"S26LWWA","ILOP",591,5,"CU351004","","PNW_coefs_13",591,""
"S26LWWA","JUGLA",600,5,"CU351004","","PNW_coefs_13",600,""
"S26LWWA","JUNI",602,5,"CU351004","","PNW_coefs_13",602,""
"S26LWWA","LIDE3",631,5,"CU351004","","PNW_coefs_13",631,""
"S26LWWA","MALUS",660,5,"CU351004","","PNW_coefs_13",660,""
"S26LWWA","MAFU",661,5,"CU351004","","PNW_coefs_13",661,""
"S26LWWA","PLRA",730,5,"CU351004","","PNW_coefs_13",730,""
"S26LWWA","POTR5",746,5,"CU351004","","PNW_coefs_13",746,""
"S26LWWA","POBAT",747,5,"CU351004","","PNW_coefs_13",747,""
"S26LWWA","PRUNU",760,5,"CU351004","","PNW_coefs_13",760,""
"S26LWWA","PRVI",763,5,"CU351004","","PNW_coefs_13",763,""
"S26LWWA","PRAM",766,5,"CU351004","","PNW_coefs_13",766,""
"S26LWWA","PREM",768,5,"CU351004","","PNW_coefs_13",768,""
"S26LWWA","QUGA4",815,5,"CU351004","","PNW_coefs_13",815,""
"S26LWWA","ROPS",901,5,"CU351004","","PNW_coefs_13",901,""
"S26LWWA","SALIX",920,5,"CU351004","","PNW_coefs_13",920,""
"S26LWWA","ELAN",997,5,"CU351004","","PNW_coefs_13",997,""
"S26LWWA","2TB",998,5,"CU351004","","PNW_coefs_13",998,""
"S26LWWA","2TREE",999,5,"CU351004","","PNW_coefs_13",999,""
