"","SPCD","DO_BH","HT_TOT"
"2176",202,23,162.2
"2500",202,23.4,85
"4085",202,6.2,56.7
"2041",202,6.9,40
"6142",202,9.9,72.6
"1592",202,5.7,35.3
"502",202,5.6,49.7999877929688
"3889",202,21.3,116.9
"4205",202,36.58,149.2
"3082",202,25.8,105.2
"2877",202,21.5,96.8
"1479",242,25.9,116
"3043",202,17.9,95.8
"5819",202,22.1,154
"4923",202,9.5,116.7
"1614",202,15.9,61.9
"5600",202,21.7,162.5
"4964",202,16.1,139
"871",242,9.5,75.5
"5546",202,22.6,155
"5021",202,10.6,73.2
"4662",202,7.2,72.5
"2104",202,10.15,55
"5656",202,38.7,212.5
"3962",202,8.65,59.1
"929",202,11.5,97.1
"4992",202,44,223
"225",202,12.8,72
"4027",202,6.15,48.1
"5931",202,21.9,170
"25",202,5.8,53.8
"3502",202,11.85039,66.4042
"2344",202,25.65,115.4
"1103",242,7.35,40.4
"487",202,18.7,133.5
"818",242,9.5,63
"2074",202,13.85,59.7
"455",202,8.900562,50.59998
"3333",202,8.070866,50.55774
"2939",202,33,123.2
"5204",202,9.6,88.2
"674",202,6.9,63.89999
"5841",202,23.2,167.9
"3831",202,19.14,90.8
"439",202,9.9,98.7999877929688
"824",242,12.4,84.5
"4448",202,11.4,103
"693",202,12.2,95
"5200",202,8.2,77.1
"934",242,22.8,121.9
"2351",202,10.2,53.2
"338",202,9,88.5999755859375
"4260",202,36.65,134.9
"4086",202,22.65,113
"2626",202,15.4,69
"4577",202,14.4,112.5
"3865",202,33.81,141.6
"4091",202,15.99,92.6
"1331",242,19.5,84
"4207",202,46.68,233.7
"4516",202,8.4,42
"2512",202,7.8,44.1
"5357",202,7.2,71.2
"4368",202,6.2,71
"3471",202,7.204724,44.61942
"1690",202,12.3,35.6
"5303",202,6.8,64.4
"4588",202,7.1,51.4
"243",202,11.29,76.5
"4214",202,12.14,68.7
"715",202,12.4,93.5
"2280",202,16.8,76.2
"1475",242,15.7,83
"1466",242,29.6,107
"5110",202,7.1,73
"2487",202,21.3,80
"2286",202,6.5,49
"3713",202,23.1,123.9
"5016",202,7,66
"1816",202,11.3,56
"3601",202,11.9,78.6
"5084",202,5.7,28
"4418",202,12.6,101
"1669",202,11.5,53.7
"5996",202,9.7,90.6
"5979",202,12.9,127.4
"4093",202,29.91,156.6
"5395",202,7.4,75
"1714",202,13.4,66.4
"3852",202,7.34,59.6
"594",202,22.2,141.5
"415",202,7.9,97.29999
"5920",202,19.8,140.5
"3028",202,22.9,110.2
"1340",242,43,139
"464",202,7.250172,49.59998
"4191",202,8.15,65.3
"3577",202,5.95,63.3
"4321",202,6,45
"4872",202,6.5,78
